location,null,place,productivity,resp_time,noise
"43.7071514734381,-72.29077557345198",2.0,Choates My Dorm Room,3,2013-04-22 00:24:29,
"43.70328375766367,-72.29034840992854",1.0,Sudikoff 006,4,2013-04-23 08:06:23,
"43.70632507702557,-72.28852254781113",,Kemeney ,4,2013-04-26 01:18:40,1.0
Unknown,,novack 73,3,2013-05-01 22:08:51,2.0
"43.70713433287341,-72.29021107759506",, my dorm,3,2013-05-04 21:02:57,2.0
"43.706975096465726,-72.2906530628659",,my room,4,2013-05-14 04:03:50,1.0
"43.70578575320415,-72.28875349174373",,novack,3,2013-05-10 20:10:31,3.0
"43.707187586279126,-72.29064016158995",,my room,4,2013-05-05 00:15:15,2.0
"43.707107369573706,-72.29070455586755",,my room,1,2013-05-10 07:57:34,2.0
"43.70377306642512,-72.28776140116048",,berry near academic services ,4,2013-05-13 19:09:10,2.0
"43.707129377140696,-72.29066827277285",,my room,2,2013-05-13 04:00:23,2.0
"43.7071803391446,-72.29073719551904",,my room,4,2013-05-18 06:33:18,2.0
"43.70711360788952,-72.29041204811223",,my room,4,2013-05-24 07:55:22,2.0
"43.705398879706564,-72.29522355779832",,Murdough 334,4,2013-05-27 00:59:39,3.0
"43.707175423533876,-72.29072460503018",,my room,2,2013-05-31 07:53:01,3.0
