location,null,place,productivity,resp_time,noise
"43.69212123,-72.2668641",1.0,sudikoff,3,2013-04-18 23:23:38,
"43.69208513,-72.26685017",1.0,home,3,2013-04-21 05:30:32,
"43.70938367,-72.28461173",1.0,sudikoff,2,2013-04-20 17:57:27,
"43.70791477,-72.28597094",1.0,"sudikoff
",2,2013-04-22 00:57:10,
"43.70957133,-72.28436521",1.0,sudikoff,3,2013-04-23 04:07:42,
"43.69935873,-72.28135033",1.0,sudikoff,2,2013-04-25 00:30:03,
"43.70973693,-72.28455604",,sudikoff,3,2013-04-28 07:24:08,1.0
"43.6920329,-72.26703169",,sudikuff,3,2013-04-26 01:36:48,1.0
"43.69149444,-72.26930575",,sudikoff,3,2013-04-29 02:55:11,1.0
"43.69224381,-72.26703204",,sudikoff,3,2013-04-30 15:27:46,1.0
"43.70760249,-72.286058",,sudikoff,3,2013-05-01 22:48:52,1.0
"43.69179181,-72.26669013",,sudikoff,3,2013-05-03 15:34:19,1.0
"43.69230186,-72.26682816",,sudikoff,3,2013-05-08 16:27:50,1.0
"43.69231606,-72.26691986",,home,2,2013-05-12 04:31:52,1.0
"43.69230057,-72.26685047",,home,2,2013-05-10 04:47:00,1.0
"43.69175278,-72.26719117",,sudikoff master lab,3,2013-05-15 02:16:23,1.0
"43.69209645,-72.26736409",,sudikoff,3,2013-05-17 06:34:45,1.0
"43.69227839,-72.26699842",,home,3,2013-05-13 23:04:53,1.0
"43.692126,-72.26679446",,sudikoff,3,2013-05-19 01:48:05,1.0
"43.69230186,-72.26692699",,honr,1,2013-05-20 16:44:40,1.0
"43.69216296,-72.26701332",,sudikoff,3,2013-05-21 06:47:56,1.0
"43.69476866,-72.27943547",,sudikoff,3,2013-05-25 17:43:58,1.0
