location,null,place,productivity,resp_time,noise
"43.70400148909539,-72.28680146858096",3.0,212 Russell Sage,2,2013-04-19 16:00:54,
"43.705345443449914,-72.29143733158708",,my room,4,2013-04-26 04:37:44,2.0
"43.70547582395375,-72.2784311324358",3.0,my room,2,2013-04-21 09:45:47,
"43.702177251689136,-72.29007745161653",2.0,Collis,3,2013-04-22 00:00:54,
Unknown,2.0,sudikoff,3,2013-04-23 04:00:41,
"43.703413414768875,-72.28902460075915",3.0,Hop Piano room,2,2013-04-24 23:06:02,
"43.70494935661554,-72.28806420229375",1.0,Hitchcock basement,4,2013-04-22 17:56:01,
"43.70499914512038,-72.29045648127794",,Novack,4,2013-04-25 23:55:01,2.0
"43.705437812022865,-72.29115846566856",,my dorm floor,2,2013-04-26 08:19:07,3.0
"43.706689733080566,-72.28658253327012",,sudikoff,4,2013-04-29 08:15:42,1.0
"43.70524217840284,-72.28784015402198",,my room,3,2013-04-29 22:52:39,1.0
"43.70579710230231,-72.29083056561649",,Sudikoff 003,4,2013-04-30 19:04:10,3.0
"43.703870521858335,-72.28751443326473",,Sudikoff,3,2013-05-07 16:59:30,1.0
"43.706466439180076,-72.28715711273253",,sudikoff,3,2013-05-08 12:08:10,1.0
Unknown,,airplane,2,2013-05-15 06:05:22,3.0
"43.705461281351745,-72.2910166438669",,Collis Dining,3,2013-05-21 09:15:35,3.0
"43.70286435820162,-72.28974292986095",,Rainbow Room,2,2013-05-22 05:39:14,1.0
Unknown,,Collis,4,2013-05-29 02:03:11,3.0
"43.70550733990967,-72.2909749019891",,Novack,4,2013-05-27 19:09:36,1.0
"43.705819859169424,-72.29087230749428",,Russell Sage 212,1,2013-05-26 19:17:46,4.0
Unknown,,Graduate Apartments,4,2013-05-29 20:09:54,1.0
