location,null,place,productivity,resp_time,noise
"43.70237732,-72.28914013",2.0,robo,2,2013-04-19 02:37:07,
"43.70460031,-72.29111515",2.0,dorm gile,3,2013-04-19 00:16:06,
"43.7054293,-72.2897154",2.0,gile,2,2013-04-20 00:17:16,
"43.7054293,-72.2897154",2.0,gile,2,2013-04-20 00:16:57,
Unknown,2.0,gile,2,2013-04-20 19:47:15,
Unknown,2.0,gile,2,2013-04-21 22:10:47,
Unknown,4.0,gile,1,2013-04-21 10:16:23,
Unknown,2.0,gile,1,2013-04-23 00:25:43,
Unknown,2.0,gile,1,2013-04-23 04:05:44,
"43.70446701,-72.29096964",1.0,gile,4,2013-04-24 04:02:13,
"43.70366438,-72.2901632",,dorm,3,2013-04-28 00:24:00,1.0
Unknown,,gile,1,2013-04-29 23:07:21,1.0
"43.7060191,-72.28758328",,gilw,1,2013-04-26 00:03:23,2.0
"43.7044126,-72.29099969",,dorm,3,2013-04-30 22:10:50,4.0
Unknown,,dorm,4,2013-04-29 04:34:27,1.0
"43.70441582,-72.29136839",,gile,2,2013-05-05 00:09:58,2.0
Unknown,,gile,2,2013-05-11 08:13:46,2.0
"43.70419436,-72.29111957",,dirt cowboy,4,2013-05-17 09:53:25,2.0
"43.70437147,-72.29092903",,gile,2,2013-05-12 05:07:38,1.0
"43.7047545,-72.28932815",,gile,3,2013-05-14 04:02:17,2.0
"43.70465377,-72.29113067",,gile,3,2013-05-22 19:15:48,3.0
Unknown,,gile,2,2013-05-24 12:07:00,4.0
