location,null,place,productivity,resp_time,noise
"43.70518194,-72.28800233",1.0,,1,2013-04-20 20:18:03,
"43.70277439,-72.28880163",,berry 1,3,2013-04-26 07:14:24,1.0
"43.70406215,-72.28755806",2.0,berry 1,3,2013-04-21 04:20:33,
"43.70351705,-72.28645145",1.0,kresge,1,2013-04-22 00:51:02,
"43.70406215,-72.28755806",2.0,sudikoff basement,3,2013-04-21 20:21:58,
"43.70466963,-72.28690138",3.0,my room south fay ,2,2013-04-24 07:10:00,
"43.7052687,-72.28811786",2.0,sudi 003,4,2013-04-23 06:31:09,
"43.70434734,-72.28679491",3.0,sudi 003,3,2013-04-23 23:01:42,
"43.70466963,-72.28690138",1.0,sudi 115,3,2013-04-24 05:09:01,
"43.70491272,-72.29111025",2.0,sudi 143,1,2013-04-25 00:57:17,
"43.70388197,-72.28693527",,McLane ,1,2013-04-25 21:56:14,1.0
"43.70388197,-72.28693527",,kemeny 006,4,2013-04-26 01:48:51,3.0
"43.70295661,-72.28995533",,sudi,3,2013-04-27 00:31:54,2.0
"43.70295661,-72.28995533",,sudi ,3,2013-04-27 00:31:45,1.0
"43.70277439,-72.28880163",,mclane,2,2013-04-26 08:20:01,1.0
"43.70708811,-72.28767562",,sudi 003,4,2013-05-01 09:16:37,1.0
"43.70708811,-72.28767562",,my room,3,2013-05-01 21:55:57,2.0
"43.70502255,-72.28804551",,my room,2,2013-05-03 07:00:26,4.0
"43.70386267,-72.288915",,sudi,3,2013-05-15 18:09:01,2.0
"43.7049437,-72.28880281",,berry 1,3,2013-05-07 03:53:51,2.0
"43.70454326,-72.2895076",,kaf,1,2013-05-09 21:59:22,4.0
"43.7037094,-72.28660102",,my room.,1,2013-05-05 09:19:31,4.0
"43.70343934,-72.28739154",,my room,1,2013-05-12 04:23:06,2.0
"43.70573461,-72.28972765",,sudi,2,2013-05-19 22:36:21,2.0
"43.70447785,-72.29155849",,my room,1,2013-05-23 13:39:08,3.0
