location,null,place,productivity,resp_time,noise
"43.70616591,-72.28331609",1.0,room ,3,2013-04-19 23:36:32,
"43.70612801,-72.28333189",1.0,room,2,2013-04-19 19:34:51,
"43.70614038,-72.28347477",1.0,room ,3,2013-04-21 04:33:45,
"43.70641949,-72.28376581",3.0,laundry ,1,2013-04-22 01:51:04,
"43.70623472,-72.28313048",1.0,room ,4,2013-04-23 06:05:13,
"43.70626705,-72.28322324",1.0,room ,4,2013-04-23 04:00:13,
"43.70618569,-72.28329622",1.0,room ,4,2013-04-24 04:59:39,
"43.70624722,-72.28332992",,room ,4,2013-04-26 00:13:54,1.0
"43.70616658,-72.2833093",,room ,2,2013-04-28 22:06:07,1.0
"43.70612104,-72.2832571",,room ,4,2013-04-30 22:00:13,1.0
"43.70572754,-72.28345198",,room,4,2013-05-04 00:04:48,1.0
"43.7061181,-72.28339464",,room ,2,2013-05-11 02:02:16,1.0
"43.70647378,-72.28294033",,room ,3,2013-05-13 03:45:21,1.0
"43.70619218,-72.28332721",,room ,1,2013-05-08 21:29:45,4.0
"43.70611027,-72.28315294",,room ,1,2013-05-14 04:04:08,1.0
"43.70616813,-72.2832338",,room ,1,2013-05-10 05:14:49,1.0
"43.70600359,-72.28320712",,room ,2,2013-05-22 19:25:24,1.0
"43.70622433,-72.28334234",,room ,2,2013-05-28 22:17:58,1.0
"43.70622433,-72.28334234",,room ,2,2013-05-28 22:18:11,4.0
"43.70618068,-72.28338039",,room ,2,2013-05-28 07:46:21,1.0
