location,null,place,productivity,resp_time,noise
"43.70590563,-72.28948565",2.0,room,3,2013-04-19 06:17:34,
"43.70360785,-72.29084752",2.0,room,4,2013-04-19 23:01:02,
"43.70371738,-72.29052339",3.0,room,2,2013-04-21 05:37:25,
"43.70383449,-72.29122954",,room,3,2013-04-27 04:35:49,1.0
"43.70388114,-72.29106228",1.0,room,3,2013-04-22 00:26:39,
"43.70379379,-72.29137476",2.0,lab,4,2013-04-21 20:37:23,
"43.70388114,-72.29106228",1.0,room,4,2013-04-21 22:58:57,
"43.70378913,-72.29087644",,dorm room,3,2013-04-28 22:03:47,1.0
"43.70376088,-72.29035391",,lab 005  sudikoff,3,2013-04-30 22:01:02,3.0
Unknown,,dorm room,1,2013-05-01 22:16:10,4.0
"43.70661175,-72.28789246",,lab 005,3,2013-05-02 22:12:11,2.0
Unknown,,dorm room,1,2013-05-13 05:24:34,3.0
"43.70397531,-72.28989529",,dorm room,3,2013-05-05 00:15:37,4.0
"43.70317722,-72.28939878",,dorm room,1,2013-05-11 05:28:27,4.0
"43.70374249,-72.29050587",,lab 005,3,2013-05-15 21:33:15,2.0
