location,null,place,productivity,resp_time,noise
"43.70629349,-72.2869845",1.0,sud ,3,2013-04-19 01:39:25,
"43.7071682,-72.28694781",1.0,sud,3,2013-04-21 05:24:15,
Unknown,1.0,home,2,2013-04-22 01:58:21,
"43.70640485,-72.28685946",1.0,sud,3,2013-04-23 07:08:04,
"43.70057317,-72.28671215",1.0,sud,2,2013-04-24 04:03:29,
"43.70640485,-72.28685946",1.0,sud,3,2013-04-23 07:07:26,
"43.70632069,-72.2866932",,sud,2,2013-04-26 00:10:11,1.0
"43.70429267,-72.28766204",,home,3,2013-04-30 23:52:01,1.0
"42.03630683,-72.61357093",,out,3,2013-05-05 23:55:36,1.0
"43.68782455,-72.28409129",,"outside
",1,2013-05-12 21:30:27,1.0
"43.70646762,-72.28684325",,sud,1,2013-05-06 03:23:52,1.0
"43.70636234,-72.28679273",,sud,1,2013-05-14 04:15:34,1.0
