location,null,place,productivity,resp_time,noise
"43.7050225,-72.28939767",3.0,library,3,2013-04-19 00:01:27,
"43.70539179,-72.28841197",2.0,libs,3,2013-04-21 05:20:28,
"43.70665284,-72.28802865",1.0,sudi,3,2013-04-20 04:18:12,
"43.70414567,-72.2861611",1.0,libs,3,2013-04-22 01:55:14,
"43.70324408,-72.28961597",4.0,libs,2,2013-04-24 04:27:22,
"43.70324408,-72.28961597",1.0,room,1,2013-04-23 04:02:36,
"43.70330372,-72.2898598",,lib,2,2013-04-26 00:30:37,1.0
"43.70151131,-72.28813703",,lub,1,2013-04-28 21:59:48,1.0
"43.70239663,-72.28686701",,,1,2013-05-05 01:21:57,1.0
"43.70200305,-72.28757046",,liba,1,2013-05-13 04:30:39,1.0
"43.70431466,-72.28543542",,,1,2013-05-04 00:26:57,1.0
"43.70260777,-72.2878145",,sudi,2,2013-05-11 04:22:08,3.0
