location,null,place,productivity,resp_time,noise
"43.70706072,-72.28621559",1.0,lab 004 sudikoff,3,2013-04-19 01:28:23,
"43.70561908,-72.28345878",2.0,laundry room,4,2013-04-22 01:37:42,
"43.70535723,-72.28283765",2.0,north park laundry room,3,2013-04-21 23:08:50,
"43.70526495,-72.28296037",1.0,lab 004,3,2013-04-24 04:01:21,
"43.70782584,-72.28356464",,lab 004,3,2013-04-26 00:06:05,2.0
"43.70549233,-72.28309105",,home ,3,2013-04-29 23:09:29,2.0
"43.70535023,-72.28313549",,lab 004 sudikoff,3,2013-05-01 22:52:14,2.0
"43.70530903,-72.28280628",,home -- n. park st,3,2013-05-12 04:32:16,2.0
Unknown,,lab 004 sudi,3,2013-05-08 20:23:00,2.0
"43.70688236,-72.28741965",,lab 143 sudi,3,2013-05-04 01:31:26,3.0
"43.70554233,-72.28319126",,,1,2013-05-18 02:51:00,1.0
