null,resp_time,hour,location,rate,social
7,2013-03-24 10:37:31,,,,
8,2013-03-24 10:37:33,,,,
"43.70499676,-72.28851178",2013-03-24 10:37:34,,,,
"43.70639306,-72.2870578",2013-03-24 09:52:25,,,,
"43.70499676,-72.28851178",2013-03-24 10:43:03,,,,
,2013-03-29 17:51:54,7.0,"43.70509271,-72.28680761",2.0,1.0
,2013-03-29 19:22:26,7.0,"43.70509271,-72.28680761",2.0,1.0
,2013-03-30 18:58:36,5.0,"43.70503113,-72.28694162",2.0,1.0
,2013-04-02 18:24:22,9.0,"43.70481251,-72.28700429",2.0,1.0
,2013-04-01 17:39:27,7.0,,2.0,1.0
,2013-04-01 10:22:28,7.0,"43.70516844,-72.28680259",3.0,1.0
,2013-04-03 17:11:45,6.0,"43.7049256,-72.28632081",2.0,1.0
,2013-04-04 17:30:20,8.0,"43.70500868,-72.28667785",1.0,1.0
,2013-04-05 16:08:04,6.0,"43.70491826,-72.28692692",2.0,3.0
,2013-04-05 17:26:24,6.0,"43.70491826,-72.28692692",2.0,3.0
,2013-04-07 17:59:18,5.0,"43.7044612,-72.28747684",1.0,1.0
,2013-04-06 20:47:09,8.0,"43.70506289,-72.28675801",2.0,2.0
,2013-04-09 14:56:46,6.0,"43.70491146,-72.28659003",1.0,2.0
,2013-04-09 17:26:01,6.0,"43.70491146,-72.28659003",1.0,1.0
,2013-04-10 21:04:20,6.0,"43.70498939,-72.28699053",3.0,3.0
,2013-04-12 18:02:26,7.0,"43.70460577,-72.28671025",2.0,2.0
,2013-04-11 18:15:17,9.0,"43.70511041,-72.28702345",1.0,2.0
,2013-04-15 16:39:42,8.0,"43.70545641,-72.28669002",1.0,1.0
,2013-04-15 17:15:27,8.0,"43.70545641,-72.28669002",1.0,1.0
,2013-04-17 15:57:16,8.0,"43.70498624,-72.28674182",1.0,1.0
,2013-04-18 18:09:30,7.0,"43.70506325,-72.28676239",2.0,2.0
,2013-04-29 19:14:21,4.0,"43.70507579,-72.28712698",3.0,1.0
,2013-04-21 17:56:39,7.0,"43.70497161,-72.28670851",1.0,1.0
,2013-04-23 17:50:31,7.0,"43.70494497,-72.28655078",2.0,1.0
,2013-04-22 17:56:07,6.0,"43.70494282,-72.28700713",2.0,1.0
,2013-05-01 17:00:02,6.0,"43.70238157,-72.28744885",2.0,1.0
,2013-05-02 17:51:57,9.0,"43.70203484,-72.28768856",1.0,1.0
,2013-05-03 17:59:46,9.0,"43.70508371,-72.28699762",1.0,1.0
,2013-05-06 17:53:16,7.0,"43.70488631,-72.28725883",1.0,1.0
,2013-05-09 18:02:52,8.0,"43.70513216,-72.28744864",1.0,1.0
