hour,location,rate,resp_time,social,null
6.0,"43.70410518,-72.28790447",2.0,2013-04-01 15:03:19,1.0,
,,,2013-03-24 09:51:15,,8
,,,2013-03-24 10:41:57,,1
,,,2013-03-24 10:16:28,,Unknown
,,,2013-03-24 10:08:04,,1
6.0,"43.70443732,-72.28677041",2.0,2013-03-27 01:59:02,1.0,
6.0,"43.70653338,-72.28661597",2.0,2013-03-27 18:18:39,1.0,
6.0,"43.70421582,-72.2867684",2.0,2013-03-27 15:15:39,1.0,
7.0,"43.70437389,-72.28688493",2.0,2013-03-28 15:13:09,1.0,
6.0,"43.70437389,-72.28688493",2.0,2013-03-28 17:59:09,1.0,
6.0,"43.70349874,-72.28440608",2.0,2013-03-29 15:10:42,1.0,
6.0,"43.70414142,-72.28932127",2.0,2013-03-29 17:57:04,1.0,
7.0,,3.0,2013-03-30 20:08:56,1.0,
7.0,"43.70315377,-72.28626052",3.0,2013-03-31 19:33:15,1.0,
6.0,"43.70338698,-72.28924152",2.0,2013-04-01 17:54:48,1.0,
8.0,"43.7058173,-72.29660835",2.0,2013-04-02 17:23:49,1.0,
8.0,"43.7038194,-72.28630753",2.0,2013-04-03 18:02:02,1.0,
7.0,"43.70500049,-72.28555637",2.0,2013-04-04 20:02:31,1.0,
7.0,"43.70500049,-72.28555637",2.0,2013-04-04 15:38:08,1.0,
5.0,"41.56429417,-73.40466456",2.0,2013-04-07 00:22:25,1.0,
6.0,"43.70302172,-72.28510945",2.0,2013-04-05 15:25:30,1.0,
7.0,"43.70301965,-72.2847275",2.0,2013-04-05 17:53:30,1.0,
5.0,"43.70400146,-72.28561947",3.0,2013-04-07 16:49:39,1.0,
8.0,"43.70661818,-72.28797185",2.0,2013-04-08 17:47:53,1.0,
6.0,"43.70493208,-72.28856946",3.0,2013-04-10 17:16:37,1.0,
8.0,"43.70449075,-72.28617485",2.0,2013-04-09 19:04:29,1.0,
7.0,"43.70417131,-72.28591047",3.0,2013-04-11 17:13:08,1.0,
6.0,"43.7041984,-72.28652356",2.0,2013-04-12 17:23:43,1.0,
6.0,"43.70433801,-72.28693212",2.0,2013-04-16 18:51:22,1.0,
6.0,"43.70414785,-72.28568415",1.0,2013-04-15 18:05:33,1.0,
6.0,"43.70406175,-72.28602073",2.0,2013-04-17 17:02:51,1.0,
6.0,"43.7040839,-72.29095577",2.0,2013-04-18 17:11:53,1.0,
6.0,"43.70394475,-72.2863293",1.0,2013-04-19 15:02:51,1.0,
7.0,"43.70623282,-72.28816572",1.0,2013-04-22 17:51:28,1.0,
8.0,"43.70431008,-72.28573285",1.0,2013-04-23 18:42:06,1.0,
6.0,"43.70392825,-72.28599485",2.0,2013-04-30 17:58:43,1.0,
7.0,"43.70405908,-72.28617372",3.0,2013-05-01 18:00:26,1.0,
5.0,"43.70359634,-72.28941721",2.0,2013-05-13 17:54:19,1.0,
