hour,location,rate,resp_time,social
8,"43.70639445,-72.28323712",1,2013-04-02 19:03:37,1
7,"43.70627218,-72.28333302",1,2013-03-27 18:01:04,1
8,"43.70617293,-72.28327461",1,2013-03-28 17:17:24,1
8,"43.70612988,-72.28356362",2,2013-03-30 17:01:56,1
7,"43.70600978,-72.28338065",1,2013-04-03 17:46:03,1
6,"43.21727104,-71.51690358",3,2013-04-04 21:16:47,1
7,"43.7060012,-72.28342579",1,2013-04-05 17:14:26,1
9,"43.7061659,-72.28313333",3,2013-04-06 18:12:24,1
8,"43.70625895,-72.28337644",3,2013-04-07 17:01:02,1
8,"43.70599626,-72.28334711",1,2013-04-08 17:06:20,1
7,"43.70609411,-72.28319345",1,2013-04-09 17:00:33,1
9,"43.70890949,-72.2841238",1,2013-04-10 18:45:57,1
7,"43.70622518,-72.28344042",1,2013-04-17 17:04:22,1
7,"43.70618903,-72.28346668",1,2013-04-12 17:23:49,1
6,"42.86228385,-71.33636761",3,2013-04-11 17:04:09,1
9,"43.70632,-72.28343388",1,2013-04-13 17:19:19,1
5,Unknown,3,2013-04-18 17:00:32,1
8,"43.70620341,-72.28324609",1,2013-04-14 21:04:16,1
8,"43.70614789,-72.28254586",1,2013-04-15 15:43:23,1
8,"43.70614305,-72.28318355",1,2013-04-15 17:02:53,1
7,"43.62901677,-72.34275418",4,2013-04-16 20:39:49,1
4,Unknown,1,2013-04-19 19:01:40,1
6,"43.70608079,-72.2835322",1,2013-04-21 01:10:14,1
7,"43.70613719,-72.28278203",1,2013-04-22 19:40:43,1
6,"43.70593948,-72.28355406",2,2013-04-24 18:00:20,1
6,"43.70627936,-72.28313143",2,2013-04-23 17:45:51,1
7,"43.70610441,-72.28297412",1,2013-04-28 19:19:49,1
7,"43.70597848,-72.2832227",1,2013-04-27 17:00:21,1
6,"43.70607141,-72.28335077",1,2013-04-26 20:36:35,1
7,"43.70611602,-72.28317591",1,2013-04-28 02:09:59,1
6,"43.70606283,-72.28298399",1,2013-04-29 17:48:50,1
6,"43.70618385,-72.28323613",1,2013-04-30 19:18:49,1
6,"43.70585176,-72.28246994",1,2013-05-01 18:12:49,1
5,"43.70767327,-72.28320151",1,2013-05-03 18:07:54,1
7,"43.70588745,-72.28336192",3,2013-05-10 18:30:37,1
14,"43.70609508,-72.28335958",1,2013-05-11 18:12:12,1
10,"43.70624549,-72.28318405",1,2013-05-15 17:31:40,1
10,"43.70624549,-72.28318405",1,2013-05-15 17:17:17,1
8,"43.70620149,-72.28355244",1,2013-05-04 18:19:25,1
5,"43.70775556,-72.2838034",2,2013-05-06 18:00:02,1
11,"43.70647378,-72.28294033",1,2013-05-12 20:34:55,1
5,"43.70601095,-72.28337169",1,2013-05-07 19:23:41,1
7,"43.70609946,-72.28325533",1,2013-05-14 18:37:15,1
6,"43.70636044,-72.28306652",1,2013-05-16 17:38:00,1
5,"43.70624133,-72.28352977",3,2013-05-09 18:51:26,1
4,"43.70599042,-72.28304403",3,2013-05-13 17:31:22,1
9,"43.70615341,-72.28335377",1,2013-05-17 19:54:03,1
9,"43.7060472,-72.28349708",1,2013-05-18 18:31:42,1
9,"43.7061924,-72.28343594",4,2013-05-19 17:53:58,1
6,"43.70610364,-72.2832551",2,2013-05-20 19:02:36,1
7,"43.70643881,-72.28337391",1,2013-05-21 18:01:07,1
9,"43.70600359,-72.28320712",2,2013-05-22 17:31:11,1
9,"43.70621114,-72.28339883",2,2013-05-28 17:49:35,1
7,"43.7079224,-72.28383182",4,2013-05-30 17:42:09,1
9,"43.70636966,-72.283314",1,2013-05-25 18:44:09,1
7,"43.70623425,-72.28276296",1,2013-05-27 17:17:27,1
5,"43.70618821,-72.28324607",1,2013-05-29 17:50:36,1
7,"43.70608901,-72.28328485",1,2013-06-01 18:03:42,1
