null,resp_time,hour,location,rate,social
1,2013-03-24 09:50:20,,,,
1,2013-03-24 10:43:34,,,,
,2013-04-01 17:56:00,4.0,"43.70413216,-72.28586105",3.0,1.0
"43.70634108,-72.2870727",2013-03-24 10:37:31,,,,
1,2013-03-24 10:37:33,,,,
,2013-03-28 20:37:20,5.0,"43.70655446,-72.28713909",4.0,2.0
,2013-03-29 18:04:46,5.0,"43.70754161,-72.28527106",3.0,1.0
,2013-03-31 20:05:36,9.0,"43.70389316,-72.28575202",1.0,1.0
,2013-04-03 17:07:52,5.0,"43.70435602,-72.28669392",2.0,1.0
,2013-04-04 19:00:33,7.0,"43.70403288,-72.28595896",2.0,2.0
,2013-04-05 17:00:32,5.0,"43.70475035,-72.28638803",2.0,1.0
,2013-04-08 18:00:39,3.0,"43.70586093,-72.28868897",3.0,1.0
,2013-04-10 17:00:48,2.0,Unknown,4.0,2.0
,2013-04-18 20:30:19,7.0,"43.70424431,-72.28559775",2.0,3.0
,2013-04-17 17:17:23,3.0,"43.70400104,-72.28585139",4.0,1.0
,2013-04-19 18:07:37,6.0,"43.70375531,-72.28604079",2.0,1.0
,2013-04-20 23:58:52,12.0,"43.70387421,-72.28565294",1.0,1.0
,2013-04-29 17:00:25,0.0,"43.70394816,-72.28577831",4.0,1.0
,2013-05-03 17:31:52,6.0,Unknown,1.0,1.0
,2013-05-22 17:32:38,3.0,"43.70370727,-72.28600459",4.0,2.0
