null,resp_time,hour,location,rate,social
"43.70493611,-72.28874546",2013-03-24 10:45:09,,,,
"43.70634601,-72.2882174",2013-03-24 10:45:13,,,,
5,2013-03-24 10:45:36,,,,
8,2013-03-24 10:45:11,,,,
3,2013-03-24 09:47:06,,,,
1,2013-03-24 10:45:12,,,,
,2013-04-01 00:20:26,9.0,"43.70651948,-72.28796088",1.0,1.0
,2013-04-03 16:19:26,7.0,"43.70433137,-72.29699785",2.0,1.0
,2013-04-01 17:01:04,5.0,"43.70105311,-72.28963051",3.0,1.0
,2013-04-01 20:20:33,6.0,"43.7044068,-72.28971584",3.0,1.0
,2013-04-03 17:13:23,7.0,"43.70509059,-72.29282176",2.0,1.0
,2013-04-02 18:00:47,7.0,"43.70508503,-72.28998507",2.0,2.0
,2013-04-03 22:10:03,7.0,"43.70675529,-72.28728531",2.0,1.0
,2013-04-05 17:05:31,5.0,"43.70460768,-72.29552697",3.0,1.0
,2013-04-06 21:47:26,8.0,"43.70443306,-72.29711671",2.0,2.0
,2013-04-07 18:10:36,7.0,"43.70589876,-72.28814521",2.0,1.0
,2013-04-08 17:50:44,6.0,"43.70551407,-72.2896007",2.0,2.0
,2013-04-10 17:54:47,7.0,"43.70417591,-72.29706744",3.0,2.0
,2013-04-12 17:09:01,6.0,"43.70450188,-72.2971835",3.0,1.0
,2013-04-15 18:08:18,3.0,"43.70757846,-72.28529267",4.0,1.0
,2013-04-15 16:34:35,3.0,"43.70520754,-72.29021202",4.0,1.0
,2013-04-17 18:47:24,7.0,"43.70424679,-72.29701855",3.0,3.0
,2013-04-18 17:30:41,6.0,"43.70513005,-72.29196685",3.0,4.0
,2013-04-25 05:51:57,9.0,"43.70578178,-72.28774369",1.0,1.0
,2013-04-26 17:00:25,6.0,"43.70525386,-72.29094429",1.0,1.0
,2013-04-29 17:45:06,6.0,"43.70439006,-72.29698883",1.0,1.0
,2013-05-01 17:04:40,6.0,"43.704172989999996,-72.29619323",2.0,1.0
,2013-05-03 17:54:25,5.0,"43.70752624,-72.28644491",3.0,1.0
,2013-05-06 17:53:10,6.0,"43.70526124,-72.2914827",2.0,1.0
