null,resp_time,hour,location,rate,social
4.0,2013-03-24 10:49:57,,,,
9.0,2013-03-24 09:48:45,,,,
2.0,2013-03-24 10:50:01,,,,
3.0,2013-03-24 10:49:59,,,,
,2013-04-03 17:50:28,7.0,"43.70371584,-72.2909896",3.0,2.0
1.0,2013-03-30 01:11:10,,,,
,2013-04-02 20:11:01,11.0,"43.7032657,-72.29045059",1.0,1.0
,2013-03-31 19:53:52,7.0,"42.35025658,-71.07655539",2.0,1.0
,2013-04-01 17:55:53,9.0,"43.70383924,-72.29026049",2.0,2.0
,2013-04-04 17:34:20,7.0,"43.70584223,-72.29075364",2.0,1.0
,2013-04-08 17:35:39,7.0,"43.70515516,-72.28939444",2.0,1.0
,2013-04-06 23:39:35,7.0,"43.70515516,-72.28939444",3.0,1.0
,2013-04-05 16:15:23,6.0,"43.70584223,-72.29075364",2.0,2.0
,2013-04-07 21:04:06,10.0,"43.70515516,-72.28939444",2.0,2.0
,2013-04-17 17:23:48,7.0,"43.70285908,-72.29002745",3.0,3.0
,2013-04-09 17:00:47,7.0,"43.70826063,-72.28421526",2.0,1.0
,2013-04-10 18:02:27,7.0,"43.70340811,-72.29061712",2.0,1.0
,2013-04-16 18:35:18,9.0,"43.70635749,-72.28923654",2.0,2.0
,2013-04-11 20:03:57,7.0,"43.70433336,-72.29107034",2.0,1.0
,2013-04-12 15:50:44,7.0,"43.70845191,-72.28419384",2.0,1.0
,2013-04-13 18:16:53,7.0,"43.7040787,-72.28808059",3.0,1.0
,2013-04-14 17:44:05,10.0,"43.71713165,-72.27145544",1.0,2.0
,2013-04-15 17:58:08,8.0,"43.71713165,-72.27145544",2.0,1.0
,2013-04-18 19:23:08,9.0,Unknown,3.0,1.0
,2013-04-19 18:05:46,7.0,"43.70300607,-72.29026873",2.0,1.0
,2013-04-20 20:25:38,8.0,"43.70587544,-72.2911665",3.0,1.0
,2013-04-24 19:04:30,8.0,Unknown,3.0,2.0
,2013-04-22 18:13:23,8.0,"43.7031993,-72.2904444",2.0,1.0
,2013-04-23 21:39:04,7.0,"43.70635966,-72.28846146",3.0,1.0
,2013-04-25 18:58:06,6.0,"43.70608389,-72.29104393",3.0,1.0
,2013-04-27 19:00:41,8.0,"43.71796947,-72.27247143",3.0,1.0
,2013-04-26 19:05:48,9.0,"43.70608389,-72.29104393",2.0,2.0
,2013-04-28 18:30:20,8.0,"43.70301955,-72.29020739",4.0,1.0
,2013-04-29 17:51:58,6.0,"43.70374615,-72.29053936",2.0,2.0
,2013-04-30 18:21:33,9.0,"43.47216071,-71.99885894",3.0,2.0
,2013-05-01 18:03:48,9.0,"43.47216071,-71.99885894",2.0,1.0
,2013-05-03 17:39:09,9.0,"43.70211393,-72.28994529",2.0,1.0
,2013-05-10 18:06:08,9.0,"43.719082,-72.2724696",2.0,1.0
,2013-05-06 17:58:24,8.0,"43.70389513,-72.29041685",2.0,1.0
,2013-05-05 17:27:50,9.0,"43.70420319,-72.28854729",2.0,1.0
,2013-05-08 18:17:03,8.0,"43.7089232,-72.28415444",2.0,1.0
,2013-05-13 00:08:11,1.0,"43.7037874,-72.29006945",3.0,1.0
,2013-05-14 19:51:17,15.0,"43.70421817,-72.28966565",3.0,1.0
,2013-05-19 20:14:42,4.0,Unknown,3.0,1.0
,2013-05-18 19:23:31,11.0,Unknown,2.0,1.0
,2013-05-19 20:21:50,4.0,Unknown,3.0,1.0
,2013-05-20 17:51:11,14.0,Unknown,2.0,2.0
,2013-05-22 16:10:32,9.0,"43.70680906,-72.28749051",2.0,1.0
,2013-05-28 17:13:36,6.0,"43.70450738,-72.29025958",2.0,2.0
,2013-05-25 18:45:03,10.0,Unknown,3.0,1.0
,2013-05-27 06:29:09,12.0,"43.65273307,-72.24424084",2.0,2.0
,2013-06-03 19:28:32,12.0,Unknown,2.0,1.0
