null,resp_time,hour,location,rate,social
"43.70643224,-72.28718618",2013-03-24 10:37:42,,,,
7,2013-03-24 09:55:45,,,,
"43.70643224,-72.28718618",2013-03-24 10:37:41,,,,
2,2013-03-24 10:43:09,,,,
"43.70643224,-72.28718618",2013-03-24 10:37:44,,,,
,2013-03-30 18:15:44,9.0,"43.70076509,-72.2869313",1.0,2.0
,2013-03-28 17:54:22,8.0,"43.70909673,-72.28432992",2.0,2.0
,2013-04-02 17:20:27,8.0,"43.70065679,-72.28685874",3.0,2.0
,2013-04-01 05:27:26,8.0,"43.43954867,-72.05279939",2.0,2.0
,2013-04-01 04:11:26,7.0,"41.99134713,-71.27689197",2.0,1.0
,2013-04-01 17:56:28,8.0,"43.44242939,-72.06891831",2.0,3.0
,2013-04-03 17:54:39,7.0,"43.7078117,-72.28487208",3.0,3.0
,2013-04-05 17:55:19,7.0,Unknown,3.0,1.0
,2013-04-08 05:52:47,8.0,Unknown,1.0,1.0
,2013-04-08 05:53:07,8.0,Unknown,1.0,1.0
,2013-04-09 17:20:22,8.0,"43.70749748,-72.28712595",1.0,2.0
,2013-04-10 17:53:18,7.0,Unknown,3.0,1.0
,2013-04-16 17:20:17,8.0,"43.70609873,-72.28690685",1.0,1.0
,2013-04-14 22:06:42,4.0,"43.70051117,-72.28678993",3.0,1.0
,2013-04-22 18:10:34,6.0,"43.70892266,-72.28457671",3.0,1.0
