null,resp_time,hour,location,rate,social
7,2013-03-24 10:51:15,,,,
"43.70624726,-72.28691536",2013-03-24 09:48:36,,,,
,2013-04-02 10:42:53,8.0,"43.69882328,-72.28230081",1.0,3.0
1,2013-03-24 10:51:11,,,,
3,2013-03-24 10:51:10,,,,
3,2013-03-24 10:51:13,,,,
,2013-04-02 18:11:09,8.0,"43.71781156,-72.30693846",2.0,3.0
,2013-04-04 00:50:55,6.0,"43.70882663,-72.28289559",1.0,1.0
,2013-04-04 19:19:04,8.0,"43.70367932,-72.28347928",1.0,1.0
,2013-04-05 18:10:05,8.0,"43.70944275,-72.2839016",1.0,1.0
,2013-04-08 18:05:54,8.0,"43.70920909,-72.28400858",1.0,1.0
,2013-04-12 18:15:01,6.0,"43.70934347,-72.28408449",1.0,1.0
,2013-04-13 19:10:28,8.0,"43.71759725,-72.30740769",1.0,1.0
,2013-05-06 18:56:47,8.0,"43.70919686,-72.28357429",1.0,1.0
,2013-05-14 20:15:40,9.0,"43.70679514,-72.28655298",1.0,1.0
,2013-05-15 18:08:02,8.0,"43.70355938,-72.28766844",1.0,1.0
