null,resp_time,hour,location,rate,social
"43.75908069,-72.32885314",2013-03-24 08:46:00,,,,
8,2013-03-24 08:46:05,,,,
1,2013-03-24 08:40:53,,,,
1,2013-03-24 08:46:15,,,,
3,2013-03-24 08:39:25,,,,
8,2013-03-24 08:46:01,,,,
8,2013-03-24 08:46:11,,,,
"43.75885953,-72.32939114",2013-03-24 18:07:40,,,,
,2013-03-25 18:54:36,8.0,"43.70692415,-72.2873929",1.0,1.0
,2013-04-03 17:27:27,5.0,"43.70708859,-72.28753397",3.0,2.0
,2013-03-26 21:46:45,8.0,"43.70759062,-72.28510298",1.0,1.0
,2013-03-26 18:07:14,7.0,"43.70393682,-72.30152284",2.0,1.0
,2013-03-27 04:09:49,8.0,"43.75932116,-72.32890406",3.0,1.0
,2013-03-27 18:18:27,8.0,"43.70688822,-72.28758629",1.0,1.0
,2013-03-28 02:25:12,6.0,"43.70528646,-72.28684485",2.0,1.0
,2013-03-28 17:00:35,7.0,"43.70567695,-72.2879286",2.0,1.0
,2013-03-29 15:57:08,4.0,"43.70466313,-72.30515871",3.0,1.0
,2013-03-29 02:04:50,8.0,"43.70671862,-72.28748696",1.0,1.0
,2013-03-29 17:22:29,4.0,"43.70647015,-72.28715547",3.0,1.0
,2013-03-29 19:03:15,8.0,"43.70777831,-72.28510534",1.0,1.0
,2013-03-31 17:24:17,9.0,"43.75914412,-72.32945574",2.0,1.0
,2013-04-01 17:11:06,3.0,"43.70677717,-72.2874797",4.0,1.0
,2013-04-04 17:06:33,10.0,"43.70708859,-72.28753397",2.0,2.0
,2013-04-05 17:00:15,4.0,"43.70708859,-72.28753397",1.0,1.0
,2013-04-07 18:07:19,9.0,"43.70708859,-72.28753397",1.0,1.0
,2013-04-06 17:12:30,9.0,"43.70708859,-72.28753397",2.0,2.0
,2013-04-08 17:00:32,5.0,"43.70678333,-72.28754051",1.0,1.0
,2013-04-08 17:00:44,4.0,"43.70680961,-72.28757253",3.0,1.0
,2013-04-09 17:45:23,6.0,"43.64301116,-72.30784768",3.0,1.0
,2013-04-10 17:27:02,5.0,"43.705058,-72.28772623",1.0,1.0
,2013-04-11 17:25:29,8.0,"43.70414319,-72.28774882",1.0,1.0
,2013-04-12 17:06:05,3.0,"43.71253942,-72.30803315",1.0,1.0
,2013-04-15 17:09:02,3.0,"43.70661096,-72.28731884",1.0,1.0
,2013-04-14 00:06:00,14.0,Unknown,1.0,1.0
,2013-04-14 19:15:31,9.0,"43.75917269,-72.32894748",1.0,1.0
,2013-04-14 19:15:38,9.0,"43.75917269,-72.32894748",1.0,1.0
,2013-04-15 17:09:08,3.0,"43.70661096,-72.28731884",4.0,1.0
,2013-04-17 17:01:04,3.0,"43.70399343,-72.30226048",4.0,1.0
,2013-04-20 20:12:34,8.0,"41.64732181,-71.51018915",1.0,1.0
,2013-04-21 17:10:05,8.0,"43.75957917,-72.32886943",2.0,1.0
,2013-04-24 22:07:14,9.0,"43.75923622,-72.32892739",1.0,1.0
,2013-04-23 17:56:59,6.0,"43.71722994,-72.30901577",3.0,1.0
,2013-04-22 17:06:04,3.0,"43.70661363,-72.28736513",4.0,1.0
,2013-04-25 17:03:23,5.0,"43.72475325,-72.31381984",3.0,1.0
,2013-05-01 17:39:53,3.0,"43.71346364,-72.30894875",4.0,1.0
,2013-05-01 17:39:34,3.0,"43.71346364,-72.30894875",4.0,1.0
,2013-05-01 17:39:33,3.0,"43.71346364,-72.30894875",4.0,1.0
,2013-05-10 17:51:59,11.0,"43.70665289,-72.28734948",1.0,1.0
,2013-05-13 17:34:02,15.0,"43.7336199,-72.31693218",1.0,1.0
,2013-05-05 12:43:40,10.0,"48.86274371,2.33147895",1.0,1.0
,2013-05-09 17:45:03,10.0,"43.75959375,-72.32893949",2.0,1.0
,2013-05-06 14:40:04,9.0,Unknown,1.0,1.0
,2013-05-08 18:16:24,6.0,"45.43592024,12.34452394",1.0,1.0
,2013-05-16 17:33:14,10.0,"42.62013314,-71.17654852",1.0,1.0
,2013-05-17 17:39:42,9.0,"43.7590614,-72.32948628",2.0,1.0
,2013-05-23 18:35:02,9.0,Unknown,2.0,1.0
,2013-05-24 18:55:21,9.0,"43.70251211,-72.2885559",2.0,2.0
,2013-05-25 17:18:03,7.0,"38.92580143,-77.05273194",3.0,1.0
,2013-05-26 18:43:49,12.0,"43.75908452,-72.32932991",2.0,1.0
,2013-05-28 17:54:35,9.0,"43.70602498,-72.28697831",3.0,3.0
,2013-05-29 17:07:45,1.0,Unknown,1.0,1.0
,2013-05-31 17:03:11,10.0,"43.75946982,-72.32910245",2.0,1.0
,2013-06-02 17:59:16,9.0,"43.75938059,-72.32893392",1.0,1.0
