null,resp_time,hour,location,rate,social
"43.70632816,-72.28699831",2013-03-24 10:45:07,,,,
1,2013-03-24 09:52:00,,,,
10,2013-03-24 10:45:09,,,,
8,2013-03-24 10:45:05,,,,
1,2013-03-24 10:47:05,,,,
,2013-03-27 07:30:53,8.0,"43.70723501,-72.29347145",2.0,1.0
,2013-03-29 17:16:25,7.0,"43.70707642,-72.29320008",3.0,1.0
,2013-03-27 18:03:21,8.0,"43.70834437,-72.28451848",2.0,1.0
,2013-03-28 17:00:36,7.0,"43.70641389,-72.29107117",2.0,1.0
,2013-03-30 18:54:33,8.0,"43.70709166,-72.29282882",2.0,1.0
,2013-03-31 17:00:24,7.0,"43.70727019,-72.29252239",2.0,1.0
,2013-04-01 18:00:33,7.0,"43.70662942,-72.29294684",2.0,1.0
,2013-04-03 18:01:42,8.0,"43.70675024,-72.28772427",3.0,2.0
,2013-04-02 18:10:01,8.0,"43.70694471,-72.29285091",2.0,2.0
,2013-04-04 17:33:02,8.0,"43.70699087,-72.29313158",2.0,2.0
,2013-04-05 17:09:28,8.0,"43.70719722,-72.29290575",2.0,1.0
,2013-04-06 20:49:39,7.0,"43.70706246,-72.29325032",2.0,1.0
,2013-04-08 00:04:22,9.0,"43.70620445,-72.29116858",2.0,1.0
,2013-04-08 17:58:10,7.0,"43.70720645,-72.29347981",2.0,1.0
,2013-04-09 17:00:33,7.0,"43.70713201,-72.29322051",2.0,1.0
,2013-04-10 18:25:00,8.0,"43.7069528,-72.2931724",2.0,2.0
,2013-04-13 17:03:11,8.0,"43.707168,-72.29310824",2.0,2.0
,2013-04-17 18:05:16,9.0,"43.70605802,-72.28864087",2.0,1.0
,2013-04-21 19:30:09,8.0,"43.70719648,-72.29309611",2.0,1.0
,2013-04-22 18:08:04,8.0,"43.70900376,-72.2843243",2.0,2.0
,2013-04-25 22:01:21,7.0,"43.70870796,-72.28461773",2.0,1.0
,2013-04-26 17:14:25,6.0,"43.70720485,-72.29317244",2.0,2.0
,2013-05-03 06:19:33,8.0,Unknown,2.0,2.0
,2013-05-03 18:18:20,9.0,"43.7071293,-72.29291473",1.0,2.0
,2013-05-16 17:37:35,12.0,"43.70731664,-72.29342927",2.0,1.0
,2013-05-05 18:15:07,9.0,"43.70716858,-72.29328296",1.0,2.0
