null,resp_time,hour,location,rate,social
8.0,2013-03-24 09:55:04,,,,
1.0,2013-03-24 10:37:16,,,,
9.0,2013-03-24 10:37:19,,,,
3.0,2013-03-24 10:37:18,,,,
1.0,2013-03-24 10:45:02,,,,
,2013-04-02 18:40:29,7.0,"43.70554895,-72.28311931",2.0,2.0
,2013-04-01 02:05:32,7.0,"43.70649263,-72.28726854",3.0,2.0
,2013-04-01 18:10:33,7.0,"43.70876539,-72.28425377",2.0,1.0
,2013-04-03 21:29:53,9.0,"43.70556326,-72.28323358",2.0,1.0
,2013-04-08 17:46:59,6.0,"43.70552061,-72.28323748",2.0,1.0
,2013-05-13 19:10:29,5.0,"43.70655981,-72.28696346",2.0,1.0
