null,resp_time,hour,location,rate,social
12,2013-03-24 09:49:46,,,,
"43.70633881,-72.28694599",2013-03-24 09:49:43,,,,
"43.70655968,-72.28710482",2013-03-24 10:49:00,,,,
2,2013-03-24 10:53:23,,,,
4,2013-03-24 10:48:58,,,,
2,2013-03-24 10:53:25,,,,
1,2013-03-24 10:48:59,,,,
1,2013-03-24 10:53:27,,,,
"43.70493909,-72.28852976",2013-03-24 10:48:57,,,,
5,2013-03-24 10:53:29,,,,
1,2013-03-24 10:53:27,,,,
2,2013-03-24 10:48:55,,,,
,2013-04-03 21:35:17,9.0,"43.70607141,-72.28867039",1.0,1.0
,2013-03-29 00:39:16,6.0,"43.70641892,-72.29107603",4.0,1.0
,2013-03-29 00:39:15,7.0,"43.6323532,-72.31687088",2.0,1.0
,2013-03-29 18:00:51,7.0,"43.70633345,-72.29084334",2.0,1.0
,2013-03-29 21:01:37,7.0,"43.70633345,-72.29084334",3.0,4.0
,2013-03-30 19:31:45,9.0,"43.70617004,-72.29083553",2.0,4.0
,2013-04-02 21:12:07,6.0,"43.70677201,-72.29138349",2.0,1.0
,2013-04-01 08:48:17,7.0,"43.70631987,-72.29102945",2.0,2.0
,2013-04-01 17:52:30,8.0,"43.70644324,-72.28839048",2.0,1.0
,2013-04-04 19:40:39,6.0,"43.70613594,-72.29081044",3.0,1.0
,2013-04-05 19:04:34,9.0,"43.70610429,-72.29075771",1.0,1.0
,2013-04-06 20:02:36,10.0,"43.70620136,-72.29091932",2.0,1.0
,2013-04-08 17:48:48,7.0,"43.70613935,-72.29098339",3.0,1.0
,2013-04-14 09:13:20,10.0,"43.70618738,-72.29054297",2.0,4.0
,2013-04-09 19:47:28,9.0,"43.70622719,-72.29042601",3.0,1.0
,2013-04-12 08:14:26,10.0,Unknown,1.0,1.0
,2013-04-12 17:59:59,6.0,"43.70597871,-72.28908972",2.0,1.0
,2013-04-12 15:06:02,5.0,"43.70621814,-72.29075864",3.0,1.0
,2013-04-13 20:14:35,9.0,"43.70619094,-72.29054811",3.0,1.0
,2013-04-14 23:01:05,9.0,"43.70306598,-72.29015459",2.0,1.0
,2013-04-18 02:01:03,7.0,Unknown,2.0,1.0
,2013-05-13 23:09:46,9.0,"43.70334641,-72.28788749",2.0,1.0
,2013-05-26 18:07:31,5.0,"43.70554093,-72.29083252",4.0,1.0
