hour,location,rate,resp_time,social,null
5.0,"43.65180755,-72.3098317",4.0,2013-04-01 17:45:46,1.0,
,,,2013-03-24 10:42:42,,"43.706278,-72.28878583"
,,,2013-03-24 09:51:25,,1
,,,2013-03-24 10:42:38,,8
,,,2013-03-24 10:42:40,,1
,,,2013-03-24 10:48:22,,1
7.0,"43.65179828,-72.30998204",2.0,2013-03-29 17:17:38,1.0,
8.0,"43.65193883,-72.30979792",2.0,2013-03-31 18:51:03,1.0,
8.0,"43.65158151,-72.31004153",1.0,2013-03-30 18:13:02,1.0,
8.0,"43.65170046,-72.30994989",1.0,2013-04-02 17:27:54,1.0,
7.0,"43.65181117,-72.31002075",2.0,2013-04-03 17:27:34,1.0,
8.0,"43.65176754,-72.3098904",2.0,2013-04-04 17:10:37,1.0,
4.0,"43.65173128,-72.30996775",4.0,2013-04-05 17:24:04,1.0,
8.0,"43.65162591,-72.3100873",2.0,2013-04-07 18:17:14,1.0,
8.0,"43.65186855,-72.30992432",2.0,2013-04-06 17:04:38,1.0,
8.0,"43.65175234,-72.30991784",2.0,2013-04-08 17:41:16,1.0,
8.0,"43.65177652,-72.31003679",2.0,2013-04-09 17:22:26,1.0,
8.0,"43.65152672,-72.30988846",1.0,2013-04-10 17:29:49,1.0,
8.0,"43.65175181,-72.3098089",2.0,2013-04-17 17:00:24,1.0,
8.0,"43.65196548,-72.3102879",1.0,2013-04-11 17:25:41,1.0,
5.0,"43.65158304,-72.30996323",4.0,2013-04-12 17:25:55,1.0,
8.0,"43.65169916,-72.3100547",2.0,2013-04-15 17:31:25,1.0,
8.0,"43.65178381,-72.30987986",2.0,2013-04-14 17:22:06,1.0,
8.0,"43.70655534,-72.28702434",2.0,2013-04-15 23:18:10,1.0,
8.0,"37.94400248,-121.72342483",2.0,2013-04-21 19:13:57,1.0,
6.0,"38.58404326,-121.50064231",2.0,2013-04-22 21:14:02,1.0,
7.0,"43.65167494,-72.30968224",2.0,2013-04-28 17:37:56,1.0,
7.0,"43.65159753,-72.30987449",2.0,2013-04-29 17:17:37,1.0,
7.0,"43.65203022,-72.31004777",2.0,2013-05-01 17:33:28,1.0,
6.0,"43.65184746,-72.30996688",2.0,2013-05-02 17:07:00,1.0,
8.0,"43.65172546,-72.30994232",2.0,2013-05-03 16:51:58,1.0,
8.0,"43.65160512,-72.3099223",2.0,2013-05-11 17:55:01,1.0,
8.0,"43.6517384,-72.31006585",2.0,2013-05-05 18:01:55,1.0,
10.0,"43.65168477,-72.30992573",1.0,2013-05-08 17:32:57,1.0,
7.0,"43.70685421,-72.28708325",2.0,2013-05-06 17:38:43,1.0,
10.0,"43.69374231,-72.28454521",1.0,2013-05-09 18:39:28,1.0,
10.0,"43.65180627,-72.30959223",1.0,2013-05-19 19:12:59,1.0,
