hour,location,rate,resp_time,social
5,"43.70351572,-72.28960285",2,2013-04-01 23:51:00,2
8,"43.70600279420614,-72.28865772485733",2,2013-03-27 03:44:54,1
6,"43.702606027945876,-72.2895226534456",2,2013-03-29 16:53:52,2
5,"43.704553940333426,-72.28965441696346",2,2013-03-27 16:17:34,2
6,"43.702606027945876,-72.2895226534456",2,2013-03-29 18:07:31,2
4,"43.702606027945876,-72.2895226534456",3,2013-03-28 18:03:23,2
10,"43.70693783,-72.28746398",1,2013-03-30 23:38:57,2
10,"43.70295231,-72.29014782",1,2013-03-31 07:28:27,2
8,Unknown,2,2013-03-30 19:31:15,2
9,"43.7025121,-72.28898705",2,2013-04-01 02:48:12,2
4,"43.70348925,-72.28865624",3,2013-04-02 17:57:51,2
6,"43.70437719,-72.28801048",2,2013-04-01 17:53:06,3
5,"43.7052441,-72.29056065",2,2013-04-03 16:22:09,2
5,"43.70572549,-72.29076597",2,2013-04-03 17:07:40,2
7,"43.70348925,-72.28865624",2,2013-04-02 20:54:40,1
5,"43.7035497,-72.28791333",2,2013-04-04 17:58:48,2
5,"43.70385188,-72.28719243",2,2013-04-04 16:57:12,1
5,"43.705932260490954,-72.28973739780486",2,2013-04-05 00:44:17,2
3,"43.705437518656254,-72.29089770466089",2,2013-04-05 16:00:34,2
4,"43.705850495025516,-72.29117003269494",3,2013-04-08 17:00:47,2
3,"43.70550360996276,-72.29067164473236",2,2013-04-05 23:44:04,2
3,"43.70563575066626,-72.28763739578426",3,2013-04-05 17:56:08,2
10,"43.70573427993804,-72.2908112872392",1,2013-04-07 00:17:14,2
7,"43.703208435326815,-72.29068145155907",2,2013-04-08 04:01:47,2
5,"43.703053118661046,-72.28771945461631",2,2013-04-11 17:54:59,1
6,"43.70414901059121,-72.28755131363869",2,2013-04-09 16:05:02,2
6,"43.70562917087227,-72.29097867384553",2,2013-04-10 17:21:16,1
7,Unknown,2,2013-04-10 02:56:07,2
5,"43.70402131229639,-72.28727504611015",2,2013-04-11 16:56:47,1
6,"43.70402202475816,-72.28741058148444",3,2013-04-12 17:52:44,2
5,Unknown,3,2013-04-12 03:55:21,4
4,"43.70289662852883,-72.28997561149299",2,2013-04-15 17:56:31,1
9,Unknown,1,2013-04-13 20:26:38,1
6,"43.70286871679127,-72.2912011295557",2,2013-04-13 03:37:59,3
4,Unknown,2,2013-04-16 00:17:43,3
0,"43.70402395259589,-72.28720606304705",4,2013-04-17 17:51:37,3
6,"43.70423106942326,-72.28727990761399",3,2013-04-18 17:01:18,2
6,"43.703944282606244,-72.28723866865039",2,2013-04-19 15:58:56,1
7,"43.702826388180256,-72.29127505794168",2,2013-04-20 23:47:52,2
2,"43.704183753579855,-72.28855940513313",4,2013-04-29 15:59:18,1
5,"43.70403212495148,-72.28753563947976",3,2013-04-22 17:54:51,2
0,"43.7041941890493,-72.28825522586703",4,2013-04-23 17:41:39,4
13,Unknown,1,2013-04-24 20:46:49,1
4,"43.7066536070779,-72.28823712095618",2,2013-04-25 19:40:17,1
0,Unknown,4,2013-04-30 17:00:39,4
2,"43.704183753579855,-72.28855940513313",4,2013-04-29 17:54:46,2
5,"43.703525606542826,-72.28842906653881",1,2013-05-02 17:55:41,1
5,"43.70568541344255,-72.29091857559979",2,2013-05-03 05:01:13,1
9,"43.7037179293111,-72.28826511651278",2,2013-05-09 17:54:05,2
8,"43.705528462305665,-72.29130095802248",3,2013-05-03 20:04:31,2
3,"43.70550696272403,-72.28745399974287",2,2013-05-06 18:01:41,2
4,"29.90291280671954,-90.0272652413696",3,2013-05-12 18:48:18,4
1,Unknown,3,2013-05-09 01:49:57,2
5,"43.705429220572114,-72.29127271100879",3,2013-05-07 16:57:58,2
5,"33.64048871677369,-84.43573283962905",3,2013-05-11 17:33:52,4
12,"43.70381080079824,-72.28889644145966",1,2013-05-15 18:03:08,1
2,"43.70531283784658,-72.28896860964596",2,2013-05-18 00:03:59,2
10,"43.705568527802825,-72.29081480763853",1,2013-05-19 19:34:50,1
10,"43.70494906324893,-72.29194141924381",1,2013-05-18 21:06:54,1
2,Unknown,2,2013-05-21 18:52:58,2
2,Unknown,2,2013-05-23 17:59:06,2
10,"43.70550733990967,-72.2909749019891",1,2013-05-27 19:08:59,1
8,Unknown,2,2013-05-24 17:56:37,2
10,"43.705530599690974,-72.29089292697608",1,2013-05-30 16:12:46,1
16,Unknown,1,2013-05-26 05:34:28,1
1,Unknown,3,2013-05-30 00:42:48,3
4,Unknown,2,2013-05-29 02:03:26,2
9,"41.09053309075534,-73.45103331841528",1,2013-06-01 04:04:04,1
15,"29.902795627713203,-90.02727152779698",1,2013-06-06 00:06:14,1
19,"29.902878901921213,-90.02735710702837",1,2013-06-02 21:30:45,1
1,"29.900103276595473,-90.0295245833695",3,2013-06-02 06:00:37,3
13,"29.902872280217707,-90.02744721248746",1,2013-06-04 23:18:02,1
5,"29.899868331849575,-90.02978006377816",2,2013-06-07 23:46:41,3
