null,resp_time,hour,location,rate,social
3,2013-03-24 10:53:53,,,,
"43.70470212,-72.2884963",2013-03-24 10:53:52,,,,
8,2013-03-24 10:53:55,,,,
1,2013-03-24 10:53:57,,,,
"43.70450324,-72.2884118",2013-03-24 10:53:55,,,,
1,2013-03-24 10:53:50,,,,
,2013-03-27 18:35:03,7.0,"43.70751491,-72.28694759",1.0,1.0
,2013-03-27 18:35:01,8.0,"43.70751491,-72.28694759",1.0,1.0
,2013-03-28 20:08:32,8.0,"43.70751491,-72.28694759",2.0,1.0
,2013-03-30 01:02:59,5.0,"43.70751491,-72.28694759",3.0,1.0
,2013-03-30 22:03:23,9.0,"43.7048376,-72.29028059",1.0,4.0
,2013-03-31 17:36:35,8.0,"42.99574623,-71.51884702",1.0,1.0
