null,resp_time,hour,location,rate,social
"43.7063577,-72.28700524",2013-03-24 10:32:01,,,,
10,2013-03-24 10:46:39,,,,
"43.7063577,-72.28700524",2013-03-24 10:02:30,,,,
2,2013-03-24 09:54:11,,,,
"43.7063577,-72.28700524",2013-03-24 10:13:55,,,,
3,2013-03-24 10:13:46,,,,
,2013-04-03 17:34:26,7.0,"43.70553167,-72.28322691",2.0,2.0
,2013-03-28 18:21:14,8.0,"43.70545859,-72.28327112",2.0,1.0
,2013-03-29 17:20:30,9.0,"43.70562674,-72.28323386",3.0,2.0
,2013-03-30 17:14:35,8.0,"43.70543514,-72.2831621",1.0,1.0
,2013-03-31 17:11:31,8.0,"43.70546909,-72.28312334",1.0,1.0
,2013-03-31 17:12:12,8.0,"43.70546909,-72.28312334",1.0,1.0
,2013-04-02 17:06:11,8.0,"43.70556865,-72.28310136",1.0,1.0
,2013-04-01 17:00:30,8.0,"43.70556097,-72.28321515",2.0,1.0
,2013-04-04 17:01:34,8.0,"43.70539876,-72.28336841",1.0,2.0
,2013-04-05 17:04:11,8.0,"43.70573813,-72.28325543",1.0,1.0
,2013-04-08 17:01:12,8.0,"43.70535792,-72.28348372",3.0,1.0
,2013-04-06 17:00:51,8.0,"43.70511575,-72.28317434",1.0,1.0
,2013-04-07 17:00:50,7.0,"43.7055044,-72.28338837",2.0,1.0
,2013-04-09 17:00:56,8.0,"43.70554357,-72.28325924",3.0,1.0
,2013-04-11 17:11:04,8.0,"43.70528483,-72.28336024",1.0,2.0
,2013-04-12 17:00:40,5.0,"43.7054476,-72.28326768",3.0,3.0
,2013-04-13 18:58:35,10.0,"43.7054183,-72.28319637",3.0,1.0
,2013-04-18 17:07:53,8.0,"43.70533021,-72.28320935",1.0,1.0
,2013-04-14 17:55:24,8.0,"43.7050633,-72.28352333",1.0,1.0
,2013-04-15 17:44:41,8.0,"43.70548232,-72.28294733",1.0,1.0
,2013-04-17 17:40:38,6.0,"43.70563203,-72.28296566",1.0,1.0
,2013-04-20 21:02:29,8.0,"43.70587021,-72.28397539",1.0,1.0
,2013-04-22 17:02:52,6.0,"43.70500519,-72.28332888",1.0,1.0
