null,resp_time,hour,location,rate,social
1.0,2013-03-24 11:04:24,,,,
3.0,2013-03-24 11:04:27,,,,
8.0,2013-03-24 09:48:09,,,,
,2013-03-30 20:37:44,10.0,"43.70350954,-72.28608081",2.0,1.0
8.0,2013-03-24 11:04:25,,,,
8.0,2013-03-24 11:04:29,,,,
,2013-03-27 03:15:48,6.0,Unknown,2.0,1.0
,2013-03-27 21:08:48,6.0,"43.70227295,-72.28989198",1.0,1.0
,2013-03-27 17:06:38,6.0,Unknown,2.0,1.0
,2013-03-28 19:38:28,10.0,"43.70528743,-72.29155419",3.0,1.0
,2013-03-29 17:42:58,6.0,"43.70350954,-72.28608081",3.0,1.0
,2013-04-02 21:46:06,8.0,"43.7029938,-72.28634884",2.0,1.0
,2013-03-31 18:48:25,7.0,"43.70203852,-72.28684389",3.0,1.0
,2013-04-01 16:49:27,6.0,"43.70326445,-72.28627025",2.0,1.0
,2013-04-03 17:37:18,6.0,"43.70237031,-72.28787598",3.0,1.0
,2013-04-04 19:44:37,8.0,"43.70301411,-72.28619057",2.0,1.0
,2013-04-05 18:15:13,6.0,"43.70342734,-72.28638739",3.0,2.0
,2013-04-07 01:27:36,6.0,"43.04882397,-71.72452648",3.0,1.0
,2013-04-08 02:55:17,8.0,"43.70278047,-72.28749202",1.0,1.0
,2013-04-15 04:07:24,10.0,"43.70343873,-72.28651243",1.0,1.0
,2013-04-10 17:49:11,6.0,"43.70370174,-72.28680811",2.0,1.0
,2013-04-10 10:34:08,8.0,"43.70731779,-72.2868045",1.0,1.0
,2013-04-12 02:20:47,7.0,"43.70314121,-72.28659035",1.0,1.0
,2013-04-14 05:39:07,8.0,"43.70360138,-72.28652466",1.0,1.0
,2013-04-16 04:12:27,7.0,"43.70396504,-72.28927469",3.0,1.0
,2013-04-16 19:15:52,9.0,"43.70322923,-72.28831716",2.0,1.0
,2013-04-18 06:06:18,5.0,"43.70430223,-72.29046297",3.0,2.0
,2013-04-18 20:34:01,8.0,"43.70430223,-72.29046297",2.0,2.0
,2013-04-20 20:20:41,7.0,"43.70518194,-72.28800233",1.0,1.0
,2013-04-25 21:55:53,9.0,"43.70354857,-72.28679727",1.0,1.0
,2013-04-21 20:21:27,6.0,"43.70406215,-72.28755806",1.0,1.0
,2013-04-23 06:30:38,0.0,"43.7052687,-72.28811786",4.0,1.0
,2013-04-23 23:01:57,8.0,"43.70434734,-72.28679491",1.0,1.0
,2013-04-25 00:57:16,8.0,"43.70440204,-72.29052256",1.0,1.0
,2013-04-22 17:37:51,0.0,"43.7052687,-72.28811786",4.0,1.0
,2013-04-27 00:31:14,7.0,"43.70295661,-72.28995533",2.0,1.0
,2013-05-01 09:17:00,6.0,"43.70708811,-72.28767562",2.0,1.0
,2013-05-03 17:41:11,8.0,"43.70502255,-72.28804551",1.0,1.0
,2013-05-15 17:49:34,7.0,"43.70531628,-72.29101359",2.0,1.0
,2013-05-05 09:19:45,8.0,"43.7037094,-72.28660102",1.0,1.0
,2013-05-11 21:22:49,15.0,"43.70527997,-72.2896421",1.0,1.0
,2013-05-09 21:58:51,1.0,"43.70454326,-72.2895076",1.0,1.0
,2013-05-07 03:53:29,8.0,"43.7049437,-72.28880281",1.0,1.0
,2013-05-09 21:59:00,12.0,"43.70454326,-72.2895076",1.0,1.0
,2013-05-19 21:01:43,9.0,"43.70573461,-72.28972765",2.0,2.0
,2013-05-23 13:39:46,1.0,"43.70447785,-72.29155849",3.0,3.0
