hour,location,rate,resp_time,social,null
7.0,"43.70341845,-72.29014363",2.0,2013-04-01 17:34:54,1.0,
,,,2013-03-24 09:49:19,,"43.70621142,-72.28697323"
,,,2013-03-24 10:19:55,,1
,,,2013-03-24 10:04:06,,"43.70621142,-72.28697323"
,,,2013-03-24 10:42:47,,8
,,,2013-03-24 10:28:11,,"43.70621142,-72.28697323"
,,,2013-03-24 10:31:36,,1
8.0,"43.70459605,-72.2899188",2.0,2013-04-03 17:02:28,1.0,
7.0,"43.70822031,-72.28454379",2.0,2013-03-27 19:11:24,1.0,
7.0,"43.70407087,-72.28782785",2.0,2013-03-27 19:11:24,1.0,
8.0,"43.70430713,-72.29029683",2.0,2013-03-30 02:07:43,1.0,
6.0,"43.70647211,-72.28802604",2.0,2013-03-30 02:07:47,1.0,
8.0,"43.70291316,-72.28943322",1.0,2013-03-30 20:11:17,1.0,
8.0,"43.70443854,-72.2860879",1.0,2013-03-30 16:37:17,1.0,
8.0,"43.70268506,-72.2871776",2.0,2013-03-31 17:47:23,1.0,
7.0,"43.70679334,-72.28767766",2.0,2013-04-02 17:52:32,1.0,
7.0,"43.70168352,-72.28807511",2.0,2013-04-04 17:33:32,1.0,
8.0,"43.70238375,-72.28772441",2.0,2013-04-08 17:00:29,1.0,
7.0,"43.70173422,-72.28775943",2.0,2013-04-05 17:49:50,1.0,
7.0,"43.70336268,-72.28777469",2.0,2013-04-07 17:41:19,1.0,
8.0,"43.70464259,-72.28795732",2.0,2013-04-06 18:35:00,3.0,
8.0,"43.70278942,-72.28658418",2.0,2013-04-09 17:02:03,1.0,
8.0,"43.70278942,-72.28658418",3.0,2013-04-10 17:04:42,1.0,
8.0,"43.70278942,-72.28658418",2.0,2013-04-11 17:20:13,1.0,
7.0,"43.70278942,-72.28658418",2.0,2013-04-12 17:00:54,1.0,
6.0,"43.70278942,-72.28658418",3.0,2013-04-13 20:00:55,3.0,
8.0,"43.7050225,-72.28939767",2.0,2013-04-17 17:41:58,1.0,
8.0,"43.7050225,-72.28939767",2.0,2013-04-16 17:05:14,1.0,
7.0,"43.70278942,-72.28658418",3.0,2013-04-14 18:36:55,1.0,
8.0,"43.7050225,-72.28939767",2.0,2013-04-15 17:48:18,1.0,
8.0,"43.7050225,-72.28939767",2.0,2013-04-18 17:50:42,3.0,
8.0,"43.70539179,-72.28841197",2.0,2013-04-21 17:20:27,1.0,
6.0,"43.70324408,-72.28961597",3.0,2013-04-23 16:48:27,1.0,
8.0,"43.70324408,-72.28961597",2.0,2013-04-22 17:21:27,1.0,
6.0,"43.70324408,-72.28961597",3.0,2013-04-23 17:56:37,1.0,
8.0,"43.70416259,-72.2875169",3.0,2013-04-27 17:00:41,1.0,
8.0,"43.70330372,-72.2898598",2.0,2013-04-26 17:44:23,4.0,
8.0,"43.70340655,-72.28873632",3.0,2013-04-29 17:27:18,1.0,
7.0,"43.70160853,-72.28805517",4.0,2013-04-30 17:55:11,1.0,
8.0,"43.70412157,-72.28527572",2.0,2013-05-01 17:57:19,1.0,
8.0,"43.70412157,-72.28527572",1.0,2013-05-02 17:59:19,1.0,
10.0,"43.70420958,-72.28780578",2.0,2013-05-08 17:39:20,1.0,
5.0,"43.70321757,-72.28619493",2.0,2013-05-07 17:54:18,1.0,
10.0,"43.70274793,-72.28753523",2.0,2013-05-11 17:59:05,1.0,
10.0,"43.70620585,-72.28792804",2.0,2013-05-16 19:02:57,1.0,
10.0,"43.70274636,-72.28946321",2.0,2013-05-12 19:28:17,1.0,
8.0,"43.70290684,-72.28530452",2.0,2013-05-06 17:53:19,1.0,
10.0,"43.70721373,-72.28551043",2.0,2013-05-10 18:15:36,1.0,
7.0,"43.70428011,-72.28681054",2.0,2013-05-05 19:31:58,1.0,
7.0,"43.70431466,-72.28543542",2.0,2013-05-03 21:23:32,1.0,
10.0,"43.70345358,-72.28778708",2.0,2013-05-14 18:56:23,1.0,
10.0,Unknown,1.0,2013-05-21 18:51:36,1.0,
7.0,"43.70288597,-72.29129431",2.0,2013-05-29 19:28:46,1.0,
