Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,1.0,2013-03-30 02:07:44,,,,,
3.0,1.0,2013-03-30 02:07:49,,,,,
2.0,1.0,2013-03-30 21:43:56,,,,,
2.0,1.0,2013-04-02 06:12:44,,,,,
3.0,1.0,2013-03-27 19:11:23,,,,,
2.0,1.0,2013-03-31 21:40:03,,,,,
,,2013-04-08 04:03:23,1.0,1.0,2.0,3.0,
3.0,1.0,2013-04-07 05:52:10,,,,,
,,2013-04-09 07:52:56,1.0,1.0,2.0,2.0,
,,2013-04-10 07:31:54,1.0,1.0,1.0,3.0,
,,2013-04-11 06:18:54,1.0,1.0,1.0,3.0,
,,2013-04-15 07:56:04,1.0,1.0,1.0,3.0,
,,2013-04-12 06:24:33,1.0,1.0,1.0,3.0,
,,2013-04-13 06:21:13,1.0,1.0,1.0,3.0,
,,2013-04-14 08:08:23,1.0,1.0,1.0,3.0,
,,2013-04-22 01:56:39,1.0,1.0,1.0,2.0,"43.70382325,-72.28819291"
,,2013-04-22 20:17:20,2.0,1.0,1.0,2.0,"43.70324408,-72.28961597"
,,2013-04-24 17:21:24,1.0,1.0,1.0,4.0,"43.70324408,-72.28961597"
,,2013-04-25 17:53:09,1.0,1.0,2.0,4.0,"43.70330372,-72.2898598"
,,2013-04-26 17:44:10,1.0,1.0,1.0,4.0,"43.70330372,-72.2898598"
,,2013-04-28 18:08:16,1.0,1.0,2.0,3.0,"43.70151131,-72.28813703"
