Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,2.0,2013-03-28 20:37:19,,,,,
2.0,1.0,2013-03-30 23:21:55,,,,,
3.0,1.0,2013-03-31 21:32:50,,,,,
4.0,1.0,2013-04-08 05:26:24,,,,,
,,2013-04-12 06:18:07,1.0,1.0,3.0,1.0,
,,2013-04-15 06:22:34,1.0,2.0,1.0,3.0,
,,2013-04-17 09:19:05,1.0,3.0,1.0,3.0,
,,2013-04-18 20:27:23,2.0,1.0,1.0,3.0,null
,,2013-04-25 17:16:22,2.0,1.0,3.0,2.0,Unknown
,,2013-05-15 22:21:24,1.0,1.0,1.0,1.0,"43.70367367,-72.28792484"
,,2013-05-18 22:25:38,1.0,1.0,1.0,1.0,"43.70411915,-72.28567946"
