Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
3.0,2.0,2013-04-02 21:03:40,,,,,
3.0,1.0,2013-04-01 18:34:05,,,,,
1.0,1.0,2013-04-01 00:21:12,,,,,
2.0,1.0,2013-04-02 06:00:33,,,,,
,,2013-04-08 04:03:30,3.0,1.0,1.0,3.0,
,,2013-04-09 02:49:04,2.0,1.0,1.0,4.0,
,,2013-04-10 06:16:18,3.0,1.0,2.0,2.0,
,,2013-04-12 06:01:15,1.0,3.0,2.0,3.0,
,,2013-04-15 16:33:38,1.0,3.0,1.0,3.0,
,,2013-04-18 19:31:14,3.0,3.0,1.0,2.0,null
,,2013-04-26 17:19:31,3.0,1.0,2.0,2.0,"43.70525386,-72.29094429"
