Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
3.0,1.0,2013-04-03 00:02:42,,,,,
2.0,1.0,2013-03-28 22:48:19,,,,,
3.0,2.0,2013-03-29 22:05:10,,,,,
2.0,2.0,2013-03-30 21:12:06,,,,,
3.0,2.0,2013-04-01 06:36:11,,,,,
3.0,2.0,2013-04-02 06:11:19,,,,,
,,2013-04-08 04:11:04,4.0,3.0,1.0,1.0,
4.0,2.0,2013-04-06 02:08:06,,,,,
3.0,2.0,2013-04-07 02:27:47,,,,,
,,2013-04-12 06:01:08,2.0,3.0,2.0,3.0,
,,2013-04-13 06:00:45,1.0,1.0,3.0,4.0,
,,2013-04-15 06:20:44,3.0,3.0,2.0,2.0,
,,2013-04-16 07:59:17,2.0,4.0,2.0,2.0,
,,2013-04-17 18:02:55,2.0,3.0,2.0,3.0,
,,2013-04-22 20:01:02,1.0,2.0,2.0,4.0,Unknown
,,2013-04-30 04:07:55,1.0,4.0,3.0,4.0,"43.70723417780009,-72.29061854292074"
,,2013-05-02 04:57:42,1.0,3.0,2.0,4.0,"43.70138013908776,-72.28825029289776"
,,2013-05-07 05:58:19,1.0,3.0,2.0,4.0,"43.7035966462642,-72.28889475367946"
,,2013-05-10 20:08:02,2.0,1.0,3.0,3.0,"43.70578575320415,-72.28875349174373"
,,2013-05-10 07:56:12,2.0,2.0,2.0,3.0,"43.70711602533703,-72.29071942280484"
,,2013-05-14 22:58:22,1.0,3.0,3.0,3.0,"43.7059528775494,-72.28796572137354"
,,2013-05-16 22:59:43,2.0,3.0,2.0,3.0,"43.70286346627294,-72.28975605167592"
,,2013-05-04 21:05:06,1.0,1.0,2.0,3.0,"43.707379586159206,-72.29060853495425"
,,2013-05-15 22:21:47,2.0,3.0,1.0,3.0,Unknown
,,2013-05-13 02:53:31,3.0,3.0,2.0,1.0,"43.59243277218046,-72.1667505396561"
,,2013-05-17 21:41:33,2.0,3.0,2.0,3.0,"43.70617485402612,-72.28842938820235"
,,2013-05-23 04:02:54,1.0,4.0,2.0,4.0,Unknown
,,2013-05-24 06:28:39,1.0,1.0,3.0,3.0,"43.70706086014926,-72.29065677866436"
,,2013-05-27 02:21:28,3.0,3.0,2.0,2.0,"43.70506898342804,-72.29543466149126"
,,2013-05-31 07:52:03,1.0,2.0,2.0,4.0,"43.7072259238806,-72.29061095852634"
