Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
3.0,1.0,2013-03-27 23:49:52,,,,,
1.0,3.0,2013-03-28 19:59:49,,,,,
2.0,3.0,2013-03-29 21:32:48,,,,,
1.0,4.0,2013-04-01 06:22:51,,,,,
2.0,3.0,2013-04-01 06:22:48,,,,,
2.0,3.0,2013-04-03 08:10:35,,,,,
2.0,1.0,2013-04-05 02:21:58,,,,,
2.0,2.0,2013-04-06 03:05:05,,,,,
,,2013-04-10 09:04:08,2.0,2.0,2.0,3.0,
,,2013-04-13 08:11:08,1.0,3.0,1.0,4.0,
,,2013-04-14 07:58:01,4.0,1.0,1.0,1.0,
,,2013-04-15 08:13:50,2.0,3.0,1.0,1.0,
,,2013-04-19 02:02:12,1.0,3.0,1.0,3.0,"43.70755802,-72.28617355"
,,2013-04-22 21:00:23,2.0,1.0,1.0,4.0,"43.70523337,-72.28335329"
,,2013-05-15 23:38:31,3.0,1.0,3.0,1.0,"43.70356731,-72.28790087"
