Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
1.0,2.0,2013-03-27 22:52:32,,,,,
1.0,2.0,2013-03-29 21:01:15,,,,,
2.0,1.0,2013-03-30 19:33:46,,,,,
2.0,4.0,2013-03-31 21:14:26,,,,,
2.0,1.0,2013-04-02 06:59:57,,,,,
2.0,2.0,2013-04-02 01:24:01,,,,,
2.0,3.0,2013-04-03 21:30:31,,,,,
,,2013-04-12 08:13:28,3.0,1.0,2.0,1.0,
,,2013-04-12 08:13:27,3.0,1.0,2.0,1.0,
,,2013-04-13 20:57:33,3.0,1.0,2.0,1.0,
,,2013-04-14 07:02:22,4.0,1.0,2.0,1.0,
,,2013-04-15 06:27:03,1.0,1.0,1.0,1.0,
,,2013-05-17 22:39:02,3.0,1.0,1.0,2.0,"43.70636729,-72.29144404"
,,2013-05-17 19:32:57,2.0,1.0,2.0,3.0,"43.40089792,-72.02094469"
