Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,2.0,2013-04-02 17:12:20,,,,,
2.0,3.0,2013-03-28 18:21:35,,,,,
1.0,1.0,2013-03-29 06:00:16,,,,,
2.0,1.0,2013-03-29 17:20:48,,,,,
3.0,2.0,2013-03-30 17:14:56,,,,,
2.0,4.0,2013-03-31 05:01:51,,,,,
2.0,3.0,2013-03-31 17:11:42,,,,,
4.0,1.0,2013-04-01 02:39:04,,,,,
5.0,3.0,2013-04-01 17:00:42,,,,,
3.0,3.0,2013-04-03 17:34:44,,,,,
3.0,2.0,2013-04-06 01:10:16,,,,,
1.0,1.0,2013-04-07 04:00:32,,,,,
2.0,1.0,2013-04-07 04:15:12,,,,,
1.0,1.0,2013-04-08 02:52:53,,,,,
,,2013-04-09 06:11:10,2.0,1.0,1.0,3.0,
,,2013-04-15 06:48:58,1.0,1.0,1.0,1.0,
,,2013-04-10 02:35:58,1.0,1.0,1.0,3.0,
,,2013-04-10 06:00:36,1.0,1.0,1.0,1.0,
,,2013-04-12 06:02:34,1.0,1.0,1.0,1.0,
,,2013-04-11 06:00:37,1.0,1.0,1.0,4.0,
,,2013-04-13 06:00:50,1.0,2.0,1.0,4.0,
,,2013-04-14 06:00:16,1.0,1.0,3.0,2.0,
,,2013-04-24 17:18:55,1.0,1.0,1.0,1.0,"43.70538185,-72.28324725"
,,2013-04-25 17:15:22,1.0,1.0,1.0,1.0,"43.70542978,-72.28317344"
