Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,3.0,2013-04-02 06:03:19,,,,,
1.0,3.0,2013-04-03 22:03:11,,,,,
3.0,2.0,2013-03-27 21:01:52,,,,,
2.0,4.0,2013-03-29 21:59:02,,,,,
1.0,4.0,2013-03-31 21:59:45,,,,,
1.0,1.0,2013-04-07 04:09:29,,,,,
,,2013-04-10 02:33:49,3.0,1.0,1.0,4.0,
,,2013-04-12 06:46:01,2.0,2.0,1.0,3.0,
,,2013-04-15 06:38:08,1.0,3.0,1.0,3.0,
,,2013-04-14 06:00:21,1.0,3.0,1.0,4.0,
,,2013-04-18 02:36:08,3.0,1.0,2.0,2.0,
,,2013-04-20 16:45:13,3.0,1.0,1.0,4.0,"43.70381863,-72.2910568"
,,2013-04-21 20:17:56,2.0,3.0,1.0,3.0,"43.70379379,-72.29137476"
,,2013-04-22 20:01:19,1.0,2.0,1.0,4.0,"43.70366774,-72.29147122"
,,2013-04-23 17:46:41,1.0,3.0,1.0,3.0,"43.70416336,-72.29174706"
,,2013-04-27 04:34:21,1.0,4.0,1.0,1.0,"43.70383449,-72.29122954"
,,2013-04-27 19:01:34,1.0,1.0,1.0,4.0,"43.70383449,-72.29122954"
,,2013-04-28 18:23:22,1.0,3.0,1.0,3.0,"43.70380827,-72.290783"
,,2013-04-29 20:48:46,1.0,1.0,1.0,4.0,"43.70435459,-72.29034651"
,,2013-05-12 19:16:23,5.0,1.0,1.0,2.0,Unknown
,,2013-05-04 18:19:47,4.0,1.0,2.0,1.0,"43.70355342,-72.29047722"
,,2013-05-11 16:34:50,4.0,1.0,2.0,1.0,"43.70317722,-72.28939878"
,,2013-05-15 21:34:06,2.0,2.0,1.0,4.0,"43.70374249,-72.29050587"
,,2013-05-10 18:58:43,2.0,1.0,2.0,3.0,Unknown
,,2013-05-08 20:33:06,3.0,1.0,1.0,3.0,"43.70444528,-72.29050901"
,,2013-05-14 22:25:33,2.0,3.0,1.0,2.0,"43.70391463,-72.28988644"
,,2013-05-13 21:31:10,3.0,2.0,1.0,2.0,"43.70339979,-72.28817654"
,,2013-05-16 22:28:24,2.0,1.0,2.0,4.0,Unknown
,,2013-05-17 22:23:48,2.0,2.0,1.0,4.0,"43.70695744,-72.28713032"
,,2013-05-29 15:45:46,1.0,4.0,2.0,2.0,"43.68753666,-72.29250241"
,,2013-05-28 05:42:19,1.0,1.0,1.0,4.0,"43.68753666,-72.29250241"
