Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
3.0,1.0,2013-03-30 21:00:25,,,,,
2.0,3.0,2013-03-27 03:14:45,,,,,
2.0,2.0,2013-03-27 21:07:34,,,,,
2.0,2.0,2013-03-28 19:38:51,,,,,
3.0,2.0,2013-03-29 17:43:52,,,,,
3.0,1.0,2013-03-30 20:37:57,,,,,
3.0,2.0,2013-04-01 01:37:11,,,,,
3.0,1.0,2013-04-01 16:50:50,,,,,
3.0,2.0,2013-04-03 17:38:25,,,,,
3.0,2.0,2013-04-03 02:30:39,,,,,
3.0,2.0,2013-04-04 19:45:24,,,,,
2.0,2.0,2013-04-05 18:15:42,,,,,
1.0,3.0,2013-04-07 01:27:35,,,,,
1.0,2.0,2013-04-08 02:54:23,,,,,
,,2013-04-09 09:35:42,1.0,3.0,2.0,2.0,
,,2013-04-10 10:32:55,2.0,2.0,2.0,3.0,
,,2013-04-10 17:49:29,2.0,2.0,2.0,3.0,
,,2013-04-18 20:32:15,2.0,3.0,2.0,3.0,null
,,2013-04-13 01:57:21,2.0,3.0,2.0,3.0,
,,2013-04-12 02:20:12,1.0,2.0,2.0,3.0,
,,2013-04-13 11:33:42,2.0,2.0,2.0,3.0,
,,2013-04-15 04:07:00,1.0,3.0,2.0,3.0,
,,2013-04-15 07:02:26,2.0,2.0,2.0,3.0,
,,2013-04-16 04:12:26,2.0,3.0,2.0,3.0,
,,2013-04-17 03:56:37,2.0,3.0,2.0,3.0,
,,2013-04-18 06:04:46,1.0,3.0,2.0,3.0,
,,2013-04-20 20:19:28,1.0,1.0,1.0,4.0,"43.70518194,-72.28800233"
,,2013-04-21 20:19:02,1.0,1.0,1.0,4.0,"43.70406215,-72.28755806"
,,2013-04-21 20:19:07,1.0,1.0,1.0,4.0,"43.70406215,-72.28755806"
,,2013-04-24 21:09:29,1.0,1.0,1.0,4.0,"43.70466963,-72.28690138"
,,2013-04-23 22:43:55,1.0,1.0,1.0,5.0,"43.70522947,-72.29139506"
,,2013-04-22 20:34:32,1.0,1.0,1.0,1.0,"43.7052687,-72.28811786"
,,2013-04-23 06:28:05,1.0,1.0,1.0,5.0,"43.7052687,-72.28811786"
,,2013-04-26 19:01:37,1.0,3.0,1.0,3.0,"43.7037697,-72.28671187"
,,2013-05-01 19:01:52,1.0,1.0,1.0,5.0,"43.7052922,-72.2885156"
,,2013-05-01 09:15:42,1.0,5.0,1.0,2.0,"43.70708811,-72.28767562"
,,2013-05-05 09:18:43,1.0,1.0,1.0,5.0,"43.7037094,-72.28660102"
,,2013-05-07 03:48:31,1.0,3.0,1.0,3.0,"43.7049437,-72.28880281"
,,2013-05-15 18:09:01,1.0,1.0,1.0,5.0,"43.70386267,-72.288915"
,,2013-05-19 22:36:31,1.0,1.0,1.0,5.0,"43.70573461,-72.28972765"
,,2013-05-23 13:37:58,1.0,5.0,1.0,1.0,"43.70447785,-72.29155849"
