Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
5.0,1.0,2013-03-27 07:35:32,,,,,
5.0,1.0,2013-03-27 21:45:00,,,,,
3.0,3.0,2013-03-28 07:22:11,,,,,
3.0,3.0,2013-03-28 22:45:13,,,,,
3.0,2.0,2013-03-29 19:05:05,,,,,
3.0,2.0,2013-03-29 21:40:03,,,,,
2.0,4.0,2013-03-31 02:40:51,,,,,
2.0,5.0,2013-03-31 21:44:14,,,,,
1.0,1.0,2013-04-04 01:16:14,,,,,
,,2013-04-08 05:12:50,1.0,5.0,1.0,1.0,
,,2013-04-09 08:28:25,1.0,5.0,1.0,1.0,
,,2013-04-11 07:54:13,1.0,1.0,1.0,5.0,
,,2013-04-12 07:16:12,3.0,1.0,1.0,4.0,
,,2013-04-15 06:42:21,1.0,3.0,1.0,3.0,
,,2013-04-13 06:34:47,1.0,3.0,1.0,3.0,
,,2013-04-14 21:44:31,3.0,1.0,1.0,3.0,
,,2013-04-22 21:14:33,1.0,1.0,1.0,1.0,"43.70418092,-72.29045018"
,,2013-05-14 22:16:56,1.0,1.0,1.0,5.0,"43.70394194,-72.29039284"
,,2013-05-08 07:17:09,3.0,1.0,1.0,3.0,"43.70396191,-72.2905632"
,,2013-05-17 22:16:19,4.0,4.0,1.0,1.0,"43.70392777,-72.29045036"
