Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
4.0,2.0,2013-04-02 22:11:54,,,,,
1.0,1.0,2013-04-03 16:32:26,,,,,
4.0,1.0,2013-04-04 16:13:05,,,,,
4.0,1.0,2013-04-04 04:44:41,,,,,
3.0,1.0,2013-04-07 04:34:50,,,,,
4.0,1.0,2013-04-05 16:44:54,,,,,
4.0,2.0,2013-04-06 16:31:41,,,,,
4.0,1.0,2013-04-08 04:55:28,,,,,
,,2013-04-08 16:40:50,1.0,1.0,2.0,4.0,
,,2013-04-09 07:03:27,1.0,1.0,3.0,3.0,
,,2013-04-10 17:18:18,1.0,1.0,1.0,4.0,
,,2013-04-10 06:35:43,1.0,1.0,1.0,4.0,
,,2013-04-11 17:03:56,1.0,1.0,2.0,3.0,
,,2013-04-12 17:57:36,1.0,1.0,3.0,3.0,
,,2013-04-13 16:49:45,2.0,1.0,2.0,4.0,
,,2013-04-15 08:14:24,1.0,1.0,1.0,5.0,
,,2013-04-16 16:28:29,1.0,1.0,1.0,4.0,
,,2013-04-17 17:35:14,1.0,2.0,2.0,3.0,
,,2013-04-18 16:36:28,1.0,1.0,2.0,3.0,
,,2013-04-19 17:19:59,3.0,1.0,1.0,3.0,"43.69219884,-72.26694325"
,,2013-04-20 16:34:03,2.0,1.0,2.0,3.0,"43.69222142,-72.26706862"
,,2013-04-26 16:26:47,1.0,1.0,1.0,4.0,"43.69232314,-72.26697319"
,,2013-04-21 17:08:49,1.0,1.0,1.0,4.0,"43.6926262,-72.26656479"
,,2013-04-22 20:17:33,1.0,1.0,1.0,3.0,"43.70957133,-72.28436521"
,,2013-04-23 17:41:46,1.0,1.0,1.0,5.0,"43.69219053,-72.26692503"
,,2013-04-25 00:28:25,1.0,1.0,2.0,3.0,"43.69935873,-72.28135033"
,,2013-04-25 16:27:56,1.0,1.0,2.0,3.0,"43.69221447,-72.26713368"
,,2013-04-27 17:10:33,1.0,1.0,1.0,4.0,Unknown
,,2013-04-29 15:12:33,1.0,1.0,1.0,4.0,"43.69198838,-72.26681867"
,,2013-04-30 15:27:49,1.0,1.0,1.0,4.0,"43.69224381,-72.26703204"
,,2013-05-01 15:04:07,1.0,1.0,3.0,2.0,"43.69241334,-72.26678771"
,,2013-05-02 16:27:30,1.0,1.0,1.0,3.0,"43.69204957,-72.26697347"
,,2013-05-13 17:11:33,5.0,1.0,1.0,1.0,"43.69206484,-72.26700327"
,,2013-05-16 17:49:58,1.0,1.0,4.0,1.0,"43.69229577,-72.26673522"
,,2013-05-12 04:31:32,2.0,1.0,1.0,3.0,"43.69231808,-72.26690462"
,,2013-05-05 17:46:25,1.0,1.0,1.0,5.0,"43.69238395,-72.26701546"
,,2013-05-12 17:06:19,1.0,1.0,1.0,4.0,"43.69220954,-72.26702639"
,,2013-05-07 18:25:08,3.0,1.0,1.0,3.0,"43.69255276,-72.26704092"
,,2013-05-15 16:49:42,1.0,1.0,1.0,5.0,"43.69219289,-72.26671048"
,,2013-05-14 17:32:08,1.0,1.0,1.0,5.0,"43.69225,-72.26698519"
,,2013-05-17 17:44:58,1.0,1.0,1.0,4.0,"43.69229406,-72.26664182"
,,2013-05-18 17:40:48,1.0,1.0,3.0,1.0,"43.6922613,-72.26687932"
,,2013-05-19 19:36:15,3.0,1.0,1.0,3.0,"43.69142104,-72.26941669"
,,2013-05-22 17:41:45,1.0,1.0,1.0,4.0,"43.69230566,-72.26694933"
,,2013-05-23 17:13:43,1.0,1.0,1.0,4.0,"43.69213441,-72.26712004"
,,2013-05-24 17:21:07,1.0,1.0,1.0,3.0,"43.69215408,-72.26702352"
,,2013-05-27 17:29:02,1.0,3.0,1.0,3.0,"43.69341383,-72.2733575"
