Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,1.0,2013-04-03 16:45:45,,,,,
3.0,1.0,2013-03-27 01:10:09,,,,,
2.0,1.0,2013-03-27 15:16:12,,,,,
2.0,4.0,2013-03-30 22:35:47,,,,,
2.0,1.0,2013-04-02 06:36:32,,,,,
2.0,2.0,2013-04-03 16:53:02,,,,,
2.0,1.0,2013-04-03 16:52:21,,,,,
2.0,3.0,2013-04-04 15:36:17,,,,,
1.0,2.0,2013-04-07 16:49:39,,,,,
,,2013-04-08 04:19:24,3.0,2.0,3.0,1.0,
2.0,3.0,2013-04-07 00:22:24,,,,,
2.0,2.0,2013-04-07 04:09:54,,,,,
,,2013-04-09 07:03:21,2.0,3.0,2.0,3.0,
,,2013-04-12 02:04:45,3.0,1.0,3.0,2.0,
,,2013-04-11 06:27:51,2.0,1.0,3.0,2.0,
,,2013-04-12 04:39:24,2.0,1.0,3.0,2.0,
,,2013-04-12 02:04:34,3.0,1.0,3.0,2.0,
,,2013-04-12 16:58:07,3.0,1.0,3.0,2.0,
,,2013-04-13 14:38:25,2.0,3.0,3.0,2.0,
,,2013-04-22 23:01:29,2.0,2.0,3.0,2.0,"43.70623282,-72.28816572"
,,2013-04-28 19:00:14,3.0,3.0,3.0,1.0,"43.70425558,-72.28583424"
,,2013-04-27 17:26:33,3.0,2.0,2.0,2.0,"43.70427751,-72.28593045"
,,2013-04-26 17:29:12,2.0,2.0,3.0,2.0,"43.70403989,-72.28593925"
,,2013-05-15 23:19:09,2.0,2.0,3.0,2.0,"43.7026866,-72.28761377"
