Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
4.0,1.0,2013-03-27 03:42:25,,,,,
3.0,1.0,2013-04-03 10:12:35,,,,,
3.0,2.0,2013-03-31 12:09:27,,,,,
3.0,1.0,2013-04-01 18:01:03,,,,,
2.0,1.0,2013-03-27 21:12:35,,,,,
2.0,1.0,2013-03-27 17:17:16,,,,,
3.0,2.0,2013-03-28 08:34:59,,,,,
3.0,1.0,2013-03-28 18:04:50,,,,,
3.0,2.0,2013-03-28 21:00:17,,,,,
3.0,1.0,2013-03-29 17:05:29,,,,,
3.0,1.0,2013-03-31 07:08:07,,,,,
3.0,2.0,2013-03-30 10:01:12,,,,,
3.0,2.0,2013-03-31 21:37:20,,,,,
3.0,1.0,2013-04-02 12:20:44,,,,,
3.0,2.0,2013-04-03 17:56:05,,,,,
,,2013-04-10 17:56:44,1.0,1.0,3.0,2.0,
,,2013-04-11 09:31:26,2.0,1.0,2.0,3.0,
,,2013-04-12 08:19:44,2.0,1.0,2.0,4.0,
,,2013-04-17 08:10:54,1.0,3.0,2.0,2.0,
,,2013-04-18 18:37:29,1.0,1.0,2.0,3.0,null
,,2013-04-18 00:34:38,1.0,3.0,1.0,2.0,
,,2013-04-20 06:50:46,2.0,1.0,2.0,2.0,"43.70392925,-72.28380701"
,,2013-04-23 21:26:34,1.0,1.0,2.0,3.0,"43.70425769,-72.28391582"
,,2013-04-26 17:25:42,1.0,1.0,1.0,1.0,"43.70410593,-72.28433421"
