Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,1.0,2013-04-03 18:56:46,,,,,
2.0,2.0,2013-03-29 19:23:17,,,,,
2.0,1.0,2013-03-31 19:17:50,,,,,
3.0,1.0,2013-04-03 18:56:45,,,,,
3.0,1.0,2013-04-06 22:01:55,,,,,
,,2013-04-12 08:15:02,3.0,3.0,1.0,1.0,
,,2013-04-20 22:09:19,2.0,1.0,1.0,3.0,"41.23064284,-73.0728831"
,,2013-04-21 20:26:18,2.0,2.0,1.0,3.0,"41.23064284,-73.0728831"
,,2013-04-29 17:59:23,2.0,1.0,1.0,4.0,"43.70906142,-72.28431236"
,,2013-05-03 06:29:59,3.0,2.0,1.0,3.0,"43.7024991,-72.28938342"
