Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
1.0,4.0,2013-04-02 06:02:19,,,,,
1.0,1.0,2013-03-29 21:00:29,,,,,
1.0,1.0,2013-03-27 21:19:19,,,,,
1.0,3.0,2013-03-28 21:55:37,,,,,
1.0,4.0,2013-03-30 21:13:30,,,,,
1.0,2.0,2013-03-31 21:02:56,,,,,
,,2013-04-08 04:00:35,2.0,2.0,1.0,1.0,
,,2013-04-10 06:04:39,4.0,2.0,1.0,1.0,
,,2013-04-11 06:02:22,2.0,3.0,2.0,1.0,
,,2013-04-13 06:02:46,2.0,2.0,1.0,2.0,
,,2013-04-16 22:26:39,1.0,3.0,1.0,2.0,
,,2013-04-21 19:39:32,4.0,1.0,1.0,2.0,"43.70699159,-72.28872268"
,,2013-04-24 17:27:57,1.0,4.0,1.0,2.0,"43.70713133,-72.28872466"
,,2013-04-30 04:04:54,2.0,3.0,1.0,3.0,"43.70287276,-72.29079578"
,,2013-04-26 17:26:49,2.0,3.0,1.0,3.0,"43.70717415,-72.28914845"
,,2013-05-08 17:56:37,1.0,4.0,1.0,2.0,"43.70767843,-72.28476978"
,,2013-05-15 23:37:16,2.0,2.0,2.0,2.0,"43.70722467,-72.28862142"
,,2013-05-14 22:35:40,2.0,3.0,1.0,2.0,"43.70724345,-72.28952114"
,,2013-05-17 23:03:47,5.0,2.0,1.0,1.0,"43.70717451,-72.28930368"
,,2013-06-05 19:00:47,4.0,1.0,2.0,1.0,Unknown
,,2013-06-03 19:01:51,4.0,1.0,2.0,1.0,"43.70709519,-72.28875588"
