Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
2.0,3.0,2013-03-27 03:41:49,,,,,
1.0,3.0,2013-03-31 21:46:00,,,,,
1.0,4.0,2013-03-31 07:28:04,,,,,
1.0,1.0,2013-03-28 21:05:34,,,,,
2.0,3.0,2013-03-27 16:17:33,,,,,
1.0,1.0,2013-03-28 16:35:12,,,,,
1.0,1.0,2013-03-28 21:04:10,,,,,
2.0,2.0,2013-03-29 19:40:33,,,,,
2.0,3.0,2013-03-29 21:03:22,,,,,
1.0,3.0,2013-03-30 21:29:57,,,,,
1.0,3.0,2013-03-31 09:38:01,,,,,
2.0,4.0,2013-03-30 23:38:57,,,,,
3.0,1.0,2013-04-01 07:45:37,,,,,
3.0,2.0,2013-04-01 17:55:28,,,,,
2.0,2.0,2013-04-02 06:53:31,,,,,
3.0,2.0,2013-04-02 16:51:57,,,,,
3.0,3.0,2013-04-03 16:22:34,,,,,
1.0,1.0,2013-04-03 05:58:49,,,,,
2.0,2.0,2013-04-03 04:01:54,,,,,
2.0,4.0,2013-04-04 16:58:05,,,,,
1.0,3.0,2013-04-05 00:42:48,,,,,
2.0,2.0,2013-04-05 16:01:19,,,,,
,,2013-04-08 04:01:39,3.0,1.0,2.0,1.0,
2.0,3.0,2013-04-07 00:13:46,,,,,
2.0,2.0,2013-04-07 05:44:31,,,,,
,,2013-04-14 06:03:14,4.0,1.0,2.0,1.0,
,,2013-04-16 00:18:21,3.0,3.0,2.0,2.0,
,,2013-04-10 02:55:10,2.0,3.0,2.0,3.0,
,,2013-04-10 06:07:35,2.0,3.0,2.0,3.0,
,,2013-04-11 06:09:22,1.0,3.0,1.0,3.0,
,,2013-04-14 00:09:58,4.0,1.0,2.0,1.0,
,,2013-04-12 06:05:41,3.0,2.0,2.0,3.0,
,,2013-04-14 20:05:54,3.0,2.0,3.0,2.0,
,,2013-04-18 20:36:23,3.0,3.0,2.0,2.0,3
,,2013-04-19 18:05:06,4.0,2.0,2.0,2.0,"43.706240337342024,-72.28648857213557"
,,2013-04-25 19:39:50,3.0,3.0,2.0,2.0,"43.7066536070779,-72.28823712095618"
,,2013-04-21 20:02:22,3.0,2.0,1.0,1.0,"43.705566599965096,-72.29095076210797"
,,2013-04-21 09:45:18,5.0,1.0,2.0,1.0,"43.70552251115441,-72.27840791456401"
,,2013-04-22 17:56:31,1.0,3.0,2.0,2.0,"43.705394812859595,-72.28801399469376"
,,2013-04-26 17:54:09,3.0,3.0,2.0,2.0,"43.7050887895748,-72.28777066804469"
,,2013-04-28 01:37:43,4.0,1.0,2.0,1.0,Unknown
,,2013-04-30 19:05:36,1.0,5.0,1.0,2.0,"43.70579710230231,-72.29083056561649"
,,2013-05-07 16:59:03,2.0,2.0,3.0,2.0,"43.70395777747035,-72.28751711547375"
,,2013-05-05 02:46:13,4.0,1.0,2.0,1.0,"43.70176318567246,-72.28840936906636"
,,2013-05-07 02:31:27,2.0,1.0,3.0,3.0,"43.702828316017985,-72.29103868827224"
,,2013-05-22 00:07:21,1.0,3.0,3.0,1.0,"43.705348586663604,-72.28977226652205"
,,2013-05-26 05:34:56,1.0,4.0,1.0,2.0,Unknown
,,2013-05-26 05:35:01,1.0,4.0,1.0,2.0,Unknown
,,2013-05-26 19:17:45,4.0,2.0,1.0,1.0,"43.705819859169424,-72.29087230749428"
,,2013-05-27 19:11:16,1.0,4.0,1.0,3.0,"43.70550733990967,-72.2909749019891"
,,2013-05-29 02:01:35,1.0,5.0,2.0,2.0,Unknown
,,2013-05-30 16:14:14,3.0,3.0,2.0,1.0,"43.705530599690974,-72.29089292697608"
,,2013-05-31 18:11:20,5.0,1.0,1.0,1.0,"43.70569061022252,-72.2908440604806"
,,2013-06-03 23:56:31,2.0,3.0,2.0,3.0,"29.90284461993724,-90.0272998586297"
,,2013-06-02 21:32:50,3.0,3.0,3.0,1.0,"29.902841728180647,-90.02745660021901"
