exercise,have,resp_time,schedule,walk,location
4,1,2013-04-02 06:53:49,1,2.0,
1,2,2013-04-02 04:34:01,1,3.0,
1,2,2013-04-03 03:57:15,1,4.0,
1,2,2013-04-04 02:28:26,1,3.0,
1,2,2013-04-04 09:56:37,1,4.0,
1,2,2013-04-05 02:04:36,1,3.0,
1,2,2013-04-07 00:13:23,1,3.0,
1,2,2013-04-07 08:07:23,1,4.0,
1,2,2013-04-06 02:01:33,1,3.0,
1,2,2013-04-08 00:01:09,1,3.0,
1,2,2013-04-08 06:01:26,1,3.0,
1,2,2013-04-09 08:09:37,1,3.0,
1,2,2013-04-10 05:05:21,1,1.0,
1,2,2013-04-12 03:55:07,2,3.0,
1,2,2013-04-14 00:09:36,1,2.0,
1,2,2013-04-14 20:05:55,2,3.0,
1,2,2013-04-17 02:14:41,1,3.0,
1,2,2013-04-18 02:00:27,1,3.0,
1,2,2013-04-19 16:01:02,1,4.0,"43.70400148909539,-72.28680146858096"
1,2,2013-04-21 09:44:05,2,4.0,"43.70409922208637,-72.28208472020924"
1,2,2013-04-22 04:00:41,1,3.0,"43.70345394127071,-72.29087851010263"
1,2,2013-04-24 02:28:51,1,3.0,Unknown
1,2,2013-04-24 06:05:06,1,3.0,"43.702806774526834,-72.29073786176741"
1,2,2013-04-26 04:38:07,1,3.0,"43.705345443449914,-72.29143733158708"
1,2,2013-04-28 00:03:33,1,2.0,Unknown
1,2,2013-04-27 00:21:03,1,3.0,"43.70476709213108,-72.2879319358617"
1,2,2013-04-29 08:16:11,1,4.0,"43.706689733080566,-72.28658253327012"
1,2,2013-05-04 04:01:23,1,3.0,"43.70586520526558,-72.29101865552366"
1,2,2013-05-15 06:05:06,1,4.0,Unknown
1,2,2013-05-20 20:48:15,1,3.0,"43.70559212286025,-72.29091203771532"
1,2,2013-05-22 05:39:29,2,3.0,"43.70286435820162,-72.28974292986095"
1,2,2013-05-25 20:37:32,2,,
1,2,2013-05-28 20:06:39,1,3.0,"43.70560381561518,-72.29110607877374"
1,2,2013-05-29 20:08:19,1,2.0,Unknown
1,2,2013-06-02 21:30:16,1,3.0,"29.902878901921213,-90.02735710702837"
3,1,2013-06-06 10:22:06,null,2.0,"29.90286414977163,-90.02727756276727"
