exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 02:19:13,2,2,
1,2,2013-04-02 04:16:50,2,1,
1,2,2013-04-04 03:24:18,2,2,
1,2,2013-04-05 04:12:52,2,2,
1,2,2013-04-08 00:13:56,2,2,
2,1,2013-04-15 07:51:14,null,2,
1,2,2013-04-10 07:56:44,2,2,
1,2,2013-04-12 17:42:09,2,2,
1,2,2013-04-13 07:43:10,2,2,
1,2,2013-04-17 08:27:03,2,2,
2,1,2013-04-20 17:54:30,null,2,"43.70587544,-72.2911665"
3,1,2013-04-21 02:50:27,null,2,"43.70587544,-72.2911665"
1,2,2013-04-22 05:29:51,2,2,"43.7031993,-72.2904444"
3,1,2013-04-23 04:21:00,null,2,"43.7031993,-72.2904444"
1,2,2013-04-29 02:21:28,2,2,"43.70301955,-72.29020739"
1,2,2013-04-26 07:42:08,2,2,"43.70608389,-72.29104393"
1,2,2013-04-29 02:21:51,2,2,"43.70301955,-72.29020739"
1,2,2013-05-08 02:16:19,2,2,"43.70690225,-72.28707856"
1,2,2013-05-06 08:52:20,2,2,"43.70389513,-72.29041685"
1,2,2013-05-16 04:48:46,2,2,"43.70333692,-72.29043048"
1,2,2013-05-19 22:31:21,2,3,Unknown
1,2,2013-05-19 22:31:36,2,3,Unknown
1,2,2013-05-29 21:29:38,2,2,"43.70602974,-72.28961179"
2,1,2013-05-28 20:13:28,null,2,"43.70450738,-72.29025958"
3,1,2013-05-30 22:47:44,2,2,"43.70605254,-72.28941754"
