exercise,have,resp_time,schedule,walk,location
5,1,2013-04-02 04:12:17,null,2,
1,2,2013-04-03 02:01:09,1,3,
5,1,2013-04-04 08:13:57,2,3,
1,2,2013-04-05 01:43:49,1,3,
1,2,2013-04-05 02:21:37,1,1,
5,1,2013-04-06 03:24:59,null,3,
1,2,2013-04-08 08:32:49,1,2,
1,2,2013-04-10 05:04:09,2,3,
5,1,2013-04-09 03:06:23,null,2,
3,1,2013-04-12 07:14:44,2,2,
2,1,2013-04-10 00:46:04,null,3,
5,1,2013-04-11 09:01:48,null,3,
4,1,2013-04-13 01:51:34,null,3,
5,1,2013-04-16 03:18:41,null,2,
1,2,2013-04-17 02:25:06,1,3,
5,1,2013-04-18 03:05:59,2,3,
2,1,2013-04-19 04:19:30,null,3,"43.70576649,-72.28783793"
5,1,2013-04-21 08:13:10,null,2,"43.7067391,-72.28556913"
5,1,2013-04-20 02:37:50,null,2,"43.70661361,-72.2859456"
5,1,2013-04-27 03:24:35,2,2,"43.70708146,-72.2859818"
1,2,2013-04-24 06:00:10,1,3,"43.70453889,-72.28787543"
4,1,2013-04-23 00:49:27,null,3,"43.70676468,-72.28542565"
5,1,2013-04-28 23:34:57,2,2,"43.70670747,-72.28550624"
5,1,2013-04-30 03:04:28,2,2,"43.70729551,-72.28748503"
3,1,2013-05-11 05:06:37,2,2,"43.70700456,-72.28598088"
1,2,2013-05-07 00:04:45,1,2,"43.70727285,-72.28621797"
1,2,2013-05-03 18:49:30,1,3,"43.70690988,-72.28699822"
4,1,2013-05-14 03:16:43,2,2,"43.70670191,-72.28568105"
1,2,2013-05-17 04:02:12,1,2,"43.70709415,-72.28737229"
5,1,2013-05-05 07:53:39,2,3,"43.70691192,-72.28587513"
5,1,2013-05-06 05:09:15,2,3,"43.70706308,-72.28596174"
1,2,2013-05-08 00:05:50,1,3,"43.70733979,-72.28607989"
4,1,2013-05-04 02:47:37,2,2,"43.70705362,-72.28594706"
1,2,2013-05-15 05:06:38,1,2,"43.70120165,-72.28667414"
1,2,2013-05-18 22:28:43,null,2,"43.70680509,-72.28557325"
1,2,2013-05-18 04:11:19,1,2,"43.70161344,-72.28714129"
4,1,2013-05-21 06:01:41,2,2,"43.70708213,-72.2859049"
1,2,2013-05-22 08:09:56,1,2,"43.7040776,-72.29042456"
2,1,2013-05-23 08:02:07,null,2,"43.7066368,-72.2855942"
1,2,2013-05-24 08:14:53,1,2,Unknown
1,2,2013-05-25 20:04:57,1,1,"43.70706719,-72.28602375"
1,2,2013-05-26 09:52:23,1,2,"43.70709334,-72.28524117"
1,2,2013-05-29 18:34:11,1,2,"43.70689977,-72.28714289"
1,2,2013-05-31 07:12:13,1,2,"43.70696465,-72.28583899"
