exercise,have,resp_time,schedule,walk,location
2,2,2013-04-03 02:18:14,1,2,
3,2,2013-04-02 06:51:27,1,2,
2,2,2013-04-04 02:13:57,1,2,
2,2,2013-04-06 02:04:54,1,2,
2,2,2013-04-05 02:03:36,1,2,
2,2,2013-04-07 00:42:54,1,2,
3,2,2013-04-08 00:51:31,1,3,
3,2,2013-04-15 23:17:59,1,3,
3,2,2013-04-10 05:34:55,1,3,
3,2,2013-04-18 02:19:04,null,3,
2,2,2013-04-14 02:32:31,1,2,
2,2,2013-04-13 03:53:01,1,2,
3,2,2013-04-17 02:00:41,1,3,
3,1,2013-04-29 04:31:17,2,3,"43.71658745,-72.27561069"
2,2,2013-04-28 00:11:49,null,2,"43.70674054,-72.28704712"
2,2,2013-04-27 00:27:46,1,2,"43.70654909,-72.28710478"
2,2,2013-04-30 02:29:32,1,2,"43.70666412,-72.28708106"
3,1,2013-05-01 04:37:42,2,3,"43.7064439,-72.28686698"
2,2,2013-05-07 01:39:31,1,2,"43.70671604,-72.28706727"
2,1,2013-05-17 04:02:18,2,2,"43.65178229,-72.30992795"
2,2,2013-05-16 05:46:43,1,2,"43.70660881,-72.28706869"
2,2,2013-05-18 04:24:47,2,2,"43.65193359,-72.30987428"
5,1,2013-05-26 21:20:36,2,5,"43.71412072,-72.28619364"
2,2,2013-05-27 22:43:33,1,2,"43.70669933,-72.28662273"
