exercise,have,resp_time,schedule,walk,location
1,2,2013-04-02 04:07:14,2,3,
1,2,2013-04-04 02:03:09,2,2,
1,2,2013-04-02 01:37:19,2,3,
1,2,2013-04-03 02:29:30,2,2,
1,2,2013-04-04 00:40:04,2,2,
1,2,2013-04-03 19:47:35,2,3,
1,2,2013-04-05 02:03:07,2,2,
1,2,2013-04-04 23:10:58,2,2,
1,2,2013-04-05 20:49:25,2,3,
1,2,2013-04-06 04:23:19,2,3,
1,2,2013-04-08 23:28:14,2,3,
1,2,2013-04-07 00:38:36,2,3,
1,2,2013-04-08 01:45:57,2,3,
1,2,2013-04-10 07:40:47,2,3,
1,2,2013-04-17 23:24:21,2,3,
1,2,2013-04-11 05:48:41,2,3,
1,2,2013-04-12 02:49:51,2,3,
1,2,2013-04-15 02:14:34,2,3,
1,2,2013-04-13 05:23:51,2,2,
1,2,2013-04-16 03:24:39,2,2,
1,2,2013-04-17 02:38:47,2,2,
1,2,2013-04-18 02:02:29,2,3,
1,2,2013-04-19 04:04:17,2,3,"43.70568693,-72.29135536"
1,2,2013-04-27 02:55:32,2,4,"43.70566341,-72.29149906"
1,2,2013-04-22 02:18:34,2,3,"44.24401313,-69.80753861"
1,2,2013-04-22 04:43:46,2,3,Unknown
1,2,2013-04-24 06:31:15,2,3,"43.70565801,-72.2912266"
1,2,2013-04-30 02:14:04,2,3,"43.705504,-72.29155831"
1,2,2013-04-28 00:08:00,2,3,"43.70217417,-72.28803253"
1,2,2013-04-29 05:34:54,2,3,"42.74186846,-71.20821987"
1,2,2013-05-04 04:00:26,2,3,"43.70551925,-72.2913828"
1,2,2013-05-18 22:27:27,2,3,"43.70293815,-72.29076426"
1,2,2013-05-19 22:11:48,2,3,Unknown
1,2,2013-05-25 20:00:24,2,3,"43.70564182,-72.29120936"
