exercise,have,resp_time,schedule,walk,location
1,2,2013-04-02 00:30:35,2,1,
1,null,2013-04-02 00:30:39,null,2,
1,2,2013-04-02 04:15:29,2,1,
1,2,2013-04-03 17:35:09,1,2,
1,2,2013-04-03 00:43:43,2,1,
1,2,2013-04-04 03:54:33,2,1,
1,2,2013-04-05 02:01:12,2,1,
1,2,2013-04-06 01:10:35,2,1,
1,2,2013-04-07 04:15:58,2,1,
3,1,2013-04-08 02:53:47,2,2,
2,2,2013-04-08 00:01:00,2,3,
1,2,2013-04-10 05:00:34,2,1,
3,1,2013-04-14 06:00:30,2,2,
1,null,2013-04-17 02:15:42,null,1,
1,null,2013-04-19 05:33:07,null,1,"43.70547625,-72.28332242"
1,null,2013-04-22 04:00:30,null,1,"43.70531979,-72.28326262"
1,null,2013-04-24 05:59:36,null,1,"43.70550562,-72.28313413"
