exercise,have,resp_time,schedule,walk,location
4,1,2013-04-03 03:43:26,null,2,
3,2,2013-04-01 14:55:38,1,2,
1,2,2013-04-01 17:12:56,1,1,
1,1,2013-04-02 04:03:53,null,1,
1,2,2013-04-04 00:28:03,1,2,
1,2,2013-04-04 02:03:44,1,3,
1,2,2013-04-06 02:19:21,1,1,
4,1,2013-04-05 02:39:51,2,3,
4,1,2013-04-05 20:37:51,null,3,
3,2,2013-04-07 18:35:08,2,3,
3,1,2013-04-07 01:56:12,null,3,
1,2,2013-04-10 05:24:58,1,3,
1,2,2013-04-17 20:27:42,1,2,
1,2,2013-04-12 22:54:04,1,3,
1,2,2013-04-17 02:44:44,1,1,
1,2,2013-04-18 02:04:26,1,2,
3,2,2013-04-19 04:29:39,1,1,"43.75872078,-72.32869187"
3,1,2013-04-22 04:23:28,null,2,"43.75957917,-72.32886943"
2,2,2013-04-24 06:08:27,1,1,Unknown
3,1,2013-04-29 02:38:13,2,1,Unknown
1,2,2013-05-05 23:30:24,2,5,"48.85875992,2.36238333"
1,2,2013-05-08 18:16:23,1,2,"45.42686431,12.350003"
1,2,2013-05-16 04:07:30,1,1,"43.70596914,-72.28674988"
4,2,2013-05-17 05:12:07,1,1,"43.70138552,-72.28880842"
1,2,2013-05-08 19:51:40,1,1,Unknown
1,2,2013-05-18 22:21:03,1,1,"42.80466172,-71.29933505"
1,2,2013-05-19 22:19:25,1,1,Unknown
1,1,2013-05-31 20:27:35,2,1,"43.70990415,-72.27948312"
4,2,2013-05-25 20:06:41,1,1,"38.92432799,-77.05412058"
1,2,2013-05-28 20:24:57,1,1,"43.70660017,-72.28716763"
3,2,2013-05-29 21:04:07,1,1,"43.70662665,-72.28716228"
3,1,2013-05-30 20:07:05,null,1,"43.70006541,-72.29016831"
1,null,2013-06-01 20:17:25,null,1,"43.999142,-71.83453784"
2,1,2013-06-04 23:01:02,null,1,"43.70666023,-72.28744135"
3,1,2013-06-05 23:18:48,null,1,"43.70697532,-72.28696303"
3,1,2013-06-03 03:04:49,2,2,"43.75910573,-72.32818315"
1,null,2013-08-07 01:47:16,null,1,"43.70207326,-72.28919072"
