exercise,have,resp_time,schedule,walk,location
3,1,2013-04-02 04:12:32,null,2,
3,1,2013-04-05 02:05:25,1,3,
1,2,2013-04-07 00:33:25,2,2,
1,2,2013-04-08 00:04:13,2,2,
3,1,2013-04-19 04:00:47,2,3,"43.70700651,-72.29317331"
1,2,2013-04-21 02:00:29,2,3,"43.70725865,-72.29291875"
3,1,2013-04-24 06:00:34,2,3,Unknown
1,2,2013-04-28 00:02:03,2,2,"43.70699798,-72.29314193"
1,2,2013-04-30 02:18:11,2,2,"43.70683195,-72.28737158"
3,1,2013-05-06 07:34:48,2,2,"43.70719676,-72.29315695"
1,2,2013-05-16 04:11:39,2,2,"43.70713777,-72.29296993"
3,1,2013-05-15 04:00:25,2,3,"43.70725622,-72.29354946"
