exercise,have,resp_time,schedule,walk,location
1,2,2013-04-01 18:02:11,2,3,
5,1,2013-04-02 01:40:45,2,3,
5,1,2013-04-02 12:21:23,2,2,
5,1,2013-04-03 03:02:22,2,3,
3,1,2013-04-11 09:32:13,2,3,
1,2,2013-04-17 03:39:00,1,2,
1,2,2013-04-18 18:38:25,2,2,3
1,2,2013-04-19 04:57:05,2,2,"43.70464073,-72.29441487"
5,1,2013-04-20 06:51:03,2,2,"43.70392925,-72.28380701"
1,2,2013-04-21 02:32:19,2,2,"43.70334071,-72.28326211"
1,2,2013-04-22 04:10:59,2,2,"43.70671038,-72.27728207"
1,2,2013-04-23 21:31:36,1,2,"43.70425769,-72.28391582"
1,2,2013-04-24 12:09:01,2,2,"43.70389416,-72.2837747"
