exercise,have,resp_time,schedule,walk,location
5,1,2013-04-02 04:00:44,null,4,
4,1,2013-04-03 03:10:02,null,3,
4,1,2013-04-04 03:10:32,null,4,
4,1,2013-04-05 02:17:47,null,4,
5,1,2013-04-08 00:03:19,null,2,
1,2,2013-04-06 02:08:04,1,3,
5,1,2013-04-07 00:07:52,null,2,
1,2,2013-04-10 05:01:07,2,3,
4,1,2013-04-12 05:02:17,2,3,
3,1,2013-04-13 06:03:03,2,3,
4,1,2013-04-16 04:07:48,null,4,
1,2,2013-04-17 03:51:43,1,3,
4,1,2013-04-19 04:00:50,null,3,"43.70699504,-72.28855071"
1,2,2013-04-21 02:00:35,1,2,"43.81237747,-72.18886948"
1,2,2013-04-22 05:08:04,1,2,"43.70635188,-72.2869814"
1,2,2013-04-24 06:00:20,1,3,"43.70710105,-72.28877711"
1,2,2013-04-27 00:07:51,1,3,"43.70712028,-72.28906509"
2,1,2013-04-28 00:02:36,2,3,"43.70616713,-72.28704858"
1,2,2013-04-29 02:04:11,1,2,"43.70378547,-72.29036229"
4,1,2013-04-30 04:04:15,null,4,"43.70278597,-72.29093312"
4,1,2013-05-07 00:03:24,2,3,"43.70718012,-72.28882735"
1,2,2013-05-08 00:07:45,2,3,"43.70646031,-72.2900943"
1,2,2013-05-05 04:07:31,2,3,"43.70255288,-72.28983647"
1,2,2013-05-04 04:10:20,1,3,"43.70644383,-72.28693503"
1,2,2013-05-17 04:08:26,1,4,"43.70316512,-72.29094043"
1,2,2013-05-15 04:06:18,1,3,"43.70202283,-72.28836255"
3,1,2013-05-18 04:00:25,2,3,"43.70704942,-72.28856556"
1,2,2013-05-30 20:00:22,1,2,"43.70699711,-72.28881796"
1,2,2013-05-25 20:25:31,2,3,"43.70653778,-72.28714271"
1,2,2013-05-28 20:34:47,2,2,"43.70625996,-72.28688972"
4,1,2013-06-03 23:03:56,null,3,"43.70487483,-72.28075722"
3,1,2013-06-02 23:02:28,2,3,"43.66400198,-72.30431921"
