exercise,have,resp_time,schedule,walk,location
3,1,2013-04-02 08:35:24,null,2,
1,2,2013-04-03 02:00:20,1,1,
1,2,2013-04-04 02:18:39,1,2,
1,2,2013-04-05 02:21:21,2,1,
1,2,2013-04-06 03:05:07,2,1,
1,2,2013-04-06 03:05:06,1,4,
1,2,2013-04-07 03:56:44,2,1,
1,2,2013-04-08 17:19:12,2,1,
1,2,2013-04-13 22:54:41,2,1,
1,2,2013-04-18 02:18:47,2,1,
2,1,2013-04-19 06:56:56,null,2,"43.70258733,-72.28374163"
1,2,2013-04-19 05:19:21,2,2,"43.70552167,-72.2830477"
2,1,2013-04-28 08:07:40,2,3,"43.70603783,-72.28336171"
1,2,2013-04-24 10:12:51,2,2,"43.70542597,-72.28318778"
1,2,2013-04-29 01:42:57,2,2,"43.70545297,-72.28328993"
1,2,2013-05-05 04:19:50,2,2,"43.70537434,-72.28318822"
1,2,2013-05-07 00:34:38,2,3,"43.70751488,-72.28536136"
1,2,2013-05-17 04:48:37,2,1,"43.70558555,-72.28313672"
1,2,2013-05-16 04:06:32,2,2,"43.70542822,-72.28305246"
1,2,2013-05-29 21:13:28,2,2,"43.70565067,-72.28319189"
1,2,2013-05-28 20:47:00,2,2,"43.70533454,-72.28299423"
