exercise,have,resp_time,schedule,walk,location
3,2,2013-04-03 05:02:11,1,3,
3,2,2013-04-02 04:00:36,1,3,
3,2,2013-04-06 03:17:18,2,1,
3,2,2013-04-05 02:57:01,2,1,
3,2,2013-04-08 00:46:02,2,3,
3,2,2013-04-10 05:16:05,1,3,
3,2,2013-04-17 03:05:27,2,3,
3,2,2013-04-19 04:00:28,1,3,"43.70629349,-72.2869845"
3,2,2013-04-21 02:08:46,2,3,"43.70835688,-72.28276783"
3,2,2013-04-24 17:26:12,1,3,"43.69653151,-72.28429978"
3,2,2013-05-15 05:00:47,1,3,"43.70664139,-72.28665635"
1,2,2013-05-08 01:18:57,2,1,Unknown
3,2,2013-05-04 05:31:54,2,1,"43.64675373,-72.30988564"
1,2,2013-05-05 23:55:37,2,1,"42.03807185,-72.61743268"
1,2,2013-05-17 05:11:17,2,1,"43.70526533,-72.29056337"
1,2,2013-05-18 23:58:27,2,1,"43.70640288,-72.28703686"
1,2,2013-05-18 23:58:40,2,1,"43.70640288,-72.28703686"
1,2,2013-05-27 20:00:11,2,1,"43.69813972,-72.28405345"
1,2,2013-05-26 23:12:37,2,1,"44.8133656,-71.88147691"
1,2,2013-05-26 23:12:35,2,1,"43.6285899,-72.32269504"
1,2,2013-05-31 20:08:14,2,1,"43.70419424,-72.28832947"
