exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 17:41:02,1,3,
1,2,2013-04-09 05:54:24,1,3,
1,2,2013-04-09 05:54:25,1,3,
1,2,2013-04-09 05:54:30,1,3,
1,2,2013-04-09 05:54:32,1,3,
1,2,2013-04-09 05:54:34,1,3,
1,2,2013-04-13 19:32:33,1,4,
3,1,2013-04-15 17:48:53,2,3,
1,2,2013-04-17 02:31:23,1,3,
1,2,2013-04-16 23:51:18,1,2,
1,2,2013-04-19 02:36:22,1,3,"43.70237732,-72.28914013"
1,2,2013-04-20 19:46:16,1,3,Unknown
2,1,2013-04-21 10:16:39,2,3,Unknown
2,1,2013-04-21 22:10:08,2,3,Unknown
1,2,2013-04-27 00:50:03,1,3,"43.70685225,-72.28683238"
1,2,2013-04-29 04:32:45,1,3,Unknown
1,2,2013-04-28 00:23:09,1,2,"43.70366438,-72.2901632"
1,2,2013-04-30 03:45:31,1,2,Unknown
1,2,2013-05-08 00:46:24,1,2,"43.70177529,-72.28874021"
1,2,2013-05-26 22:06:15,1,1,Unknown
1,2,2013-05-31 04:37:46,1,1,"43.70583041,-72.28925846"
