exercise,have,resp_time,schedule,walk,location
1,2,2013-04-04 02:06:27,1,3,
1,2,2013-04-02 04:56:42,1,2,
1,2,2013-04-03 02:07:13,1,2,
1,2,2013-04-08 01:44:09,1,2,
1,2,2013-04-06 02:00:17,1,3,
1,2,2013-04-07 01:59:18,1,2,
4,1,2013-04-09 02:15:04,null,2,
1,2,2013-04-10 05:14:36,2,2,
3,1,2013-04-11 03:36:36,null,2,
1,2,2013-04-17 02:00:12,1,2,
1,2,2013-04-17 05:18:30,1,1,
1,2,2013-04-18 02:44:46,1,4,
1,2,2013-04-19 04:04:06,1,2,"43.7050225,-72.28939767"
4,1,2013-04-22 01:55:32,null,2,"43.70412385,-72.28696992"
1,2,2013-04-24 07:48:05,1,3,"43.70324408,-72.28961597"
3,1,2013-04-25 05:40:18,null,2,"43.70297206,-72.28625376"
1,2,2013-04-29 02:16:27,1,2,"43.70151131,-72.28813703"
3,1,2013-05-04 03:59:07,null,2,"43.7035419,-72.28496666"
3,1,2013-05-07 00:27:10,null,1,"43.70651291,-72.28794506"
1,2,2013-05-15 03:57:44,1,1,"43.70324666,-72.29028792"
