exercise,have,resp_time,schedule,walk,location
1,2,2013-04-02 04:06:21,1,3,
1,2,2013-04-03 02:18:05,1,2,
1,2,2013-04-04 02:51:17,2,2,
1,2,2013-04-18 03:59:43,1,1,
1,2,2013-04-15 10:19:51,2,2,
1,2,2013-04-19 04:06:49,1,1,"43.70397962,-72.28593035"
1,2,2013-04-21 02:19:35,1,1,"43.70387421,-72.28565294"
1,2,2013-04-22 04:19:44,1,1,"43.70356921,-72.28639414"
1,2,2013-04-28 01:21:42,1,1,"43.70552478,-72.28974476"
1,2,2013-04-29 02:09:23,1,1,"43.70401485,-72.28565495"
1,2,2013-05-04 04:44:54,1,1,"43.70317223,-72.28692052"
