exercise,have,resp_time,schedule,walk,location
3,1,2013-04-02 04:12:09,null,2,
1,2,2013-04-04 02:04:41,1,2,
1,2,2013-04-05 02:02:29,1,2,
1,2,2013-04-06 02:08:07,2,2,
1,2,2013-04-07 00:45:23,2,2,
1,2,2013-04-08 00:20:04,2,2,
1,2,2013-04-10 05:04:40,2,2,
1,2,2013-04-17 02:00:41,2,1,
1,2,2013-04-18 04:40:47,2,2,
1,2,2013-04-28 00:40:21,2,1,"43.70731189456981,-72.29060578337602"
3,1,2013-04-30 03:40:52,2,2,"43.70236269565432,-72.28341078913253"
1,2,2013-04-29 02:27:54,2,1,Unknown
1,2,2013-05-07 06:03:16,2,1,"43.705985547631826,-72.2890841770398"
4,1,2013-05-10 07:57:14,2,1,"43.707106592105006,-72.29073445234907"
1,2,2013-05-05 04:23:44,2,1,"43.70311076889067,-72.29034101735787"
1,2,2013-05-08 02:02:16,2,1,"43.70663268030553,-72.29093938341686"
1,2,2013-05-15 04:01:53,1,1,"43.7059528775494,-72.28796572137354"
2,1,2013-05-04 05:14:53,2,1,"43.707193056579484,-72.29060547563812"
1,2,2013-05-13 02:53:32,2,1,"43.63363720299468,-72.21116594197632"
1,2,2013-05-18 22:24:22,2,1,"43.707252284293055,-72.29079785832832"
1,2,2013-05-18 06:33:54,2,1,"43.7071803391446,-72.29073719551904"
4,1,2013-05-21 03:30:40,2,1,"43.70711113605721,-72.2909021265177"
3,1,2013-05-24 06:28:41,2,1,"43.70714202777838,-72.29071285135586"
1,2,2013-05-25 22:37:50,2,1,"43.706969888401865,-72.29062563084044"
1,2,2013-05-30 20:03:13,2,1,"43.70722963681916,-72.29095809155727"
