exercise,have,resp_time,schedule,walk,location
5,1,2013-04-03 16:54:07,1,3,
4,1,2013-04-04 15:37:53,2,3,
4,1,2013-04-07 02:17:53,null,3,
4,1,2013-04-08 01:41:53,2,2,
4,1,2013-04-18 03:02:19,2,3,
5,1,2013-04-19 04:07:11,null,3,"43.70558971,-72.29688149"
4,1,2013-04-24 08:30:55,2,2,"43.70310692,-72.28998483"
3,1,2013-04-29 02:39:44,2,2,"43.70310102,-72.28960565"
4,1,2013-04-30 03:59:26,null,2,"43.70344161,-72.28587472"
4,1,2013-05-07 01:33:03,2,3,"43.70556561,-72.29643857"
4,1,2013-05-15 05:24:55,null,3,"43.7019109,-72.28816483"
4,1,2013-05-16 04:18:14,null,2,"43.7026866,-72.28761377"
