exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 02:14:05,1,2,
3,1,2013-04-02 04:03:37,null,3,
1,2,2013-04-01 18:35:00,1,1,
4,1,2013-04-04 02:20:55,null,3,
1,2,2013-04-05 02:00:23,2,2,
1,2,2013-04-08 00:20:37,null,2,
1,2,2013-04-07 00:23:12,null,2,
5,1,2013-04-09 02:49:23,null,2,
1,2,2013-04-10 05:33:36,2,2,
1,2,2013-04-15 16:34:25,1,2,
1,2,2013-04-19 04:15:03,null,3,"43.70581816,-72.28762381"
1,2,2013-04-27 01:23:26,2,3,"44.45491021,-73.18366108"
1,2,2013-04-29 02:00:11,2,3,"43.70528998,-72.29031972"
