exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 03:19:52,1,2,
3,1,2013-04-01 18:02:50,null,3,
3,1,2013-04-03 22:01:17,null,3,
3,1,2013-04-04 02:42:10,null,3,
1,2,2013-04-05 02:32:39,2,3,
3,1,2013-04-08 19:40:25,null,3,
3,1,2013-04-05 23:34:01,null,3,
1,2,2013-04-07 01:51:22,2,2,
1,2,2013-04-08 00:04:07,2,2,
5,2,2013-04-10 02:31:23,2,4,
1,2,2013-04-10 17:50:14,1,3,
1,2,2013-04-11 23:15:04,2,3,
1,2,2013-04-16 02:39:31,null,2,
5,1,2013-04-17 02:08:40,null,5,
1,2,2013-04-18 20:39:40,2,3,3
3,1,2013-04-18 02:33:45,null,4,
1,2,2013-04-22 04:05:45,1,2,"43.70388114,-72.29106228"
3,1,2013-04-20 16:47:16,null,3,"43.70381863,-72.2910568"
1,2,2013-04-21 20:39:37,1,2,"43.70379379,-72.29137476"
5,1,2013-04-24 06:26:03,1,5,"43.70374487,-72.29078214"
1,2,2013-04-26 06:14:41,2,2,"43.70381392,-72.29084126"
1,2,2013-04-27 00:10:44,1,2,"43.70383449,-72.29122954"
1,2,2013-04-28 00:42:44,2,2,"43.70376923,-72.29082966"
1,2,2013-04-29 02:01:18,1,2,"43.70378913,-72.29087644"
1,2,2013-04-30 02:00:23,2,2,"43.70688467,-72.28732802"
1,1,2013-05-15 04:04:54,2,2,"43.70391463,-72.28988644"
3,1,2013-05-16 04:33:23,null,2,"43.70374249,-72.29050587"
1,2,2013-05-17 05:06:22,2,2,Unknown
1,2,2013-05-07 00:50:27,1,2,"43.70695327,-72.28825554"
1,2,2013-05-12 19:15:22,2,3,Unknown
4,1,2013-05-08 18:38:26,null,3,"43.70444528,-72.29050901"
1,2,2013-05-13 19:05:51,2,3,"43.70339979,-72.28817654"
3,1,2013-05-17 19:25:51,null,2,Unknown
1,2,2013-05-20 22:01:58,2,2,Unknown
1,2,2013-05-25 20:17:31,2,2,"43.70392831,-72.29052029"
1,2,2013-05-26 21:22:36,2,2,"43.70395666,-72.29093617"
1,2,2013-05-27 21:21:17,2,2,"43.70390249,-72.29064079"
1,2,2013-05-29 22:23:32,2,1,"43.68753666,-72.29250241"
