exercise,have,resp_time,schedule,walk,location
1,2,2013-04-03 02:08:58,1,3,
1,2,2013-04-01 16:50:13,1,1,
3,1,2013-04-02 03:17:56,null,3,
1,2,2013-04-03 17:38:11,2,1,
1,2,2013-04-04 02:08:16,1,2,
3,1,2013-04-04 19:46:23,null,2,
1,2,2013-04-05 02:11:20,1,2,
1,2,2013-04-06 01:32:15,1,2,
5,1,2013-04-07 01:27:36,null,3,
1,2,2013-04-08 02:55:10,1,2,
1,2,2013-04-09 09:36:10,1,3,
1,2,2013-04-10 10:33:58,1,3,
1,2,2013-04-16 04:12:27,1,3,
1,2,2013-04-17 02:00:17,1,3,
2,1,2013-04-13 11:34:47,null,2,
1,2,2013-04-12 06:25:18,1,3,
1,2,2013-04-14 05:39:19,1,2,
1,2,2013-04-15 04:07:55,2,2,
1,2,2013-04-18 20:33:50,1,2,null
1,2,2013-04-18 06:06:00,1,3,
4,1,2013-04-20 20:20:54,null,2,"43.70518194,-72.28800233"
1,2,2013-04-21 20:21:17,1,1,"43.70406215,-72.28755806"
1,2,2013-04-24 07:02:05,1,3,"43.70466963,-72.28690138"
1,2,2013-04-23 06:30:25,1,2,"43.7052687,-72.28811786"
1,2,2013-04-25 00:57:17,1,3,"43.70440204,-72.29052256"
1,2,2013-04-25 21:55:51,1,2,"43.70356196,-72.2866634"
1,2,2013-04-27 00:28:40,1,3,"43.70295661,-72.28995533"
1,2,2013-05-01 09:17:30,1,2,"43.70708811,-72.28767562"
1,2,2013-05-07 03:48:15,1,4,"43.7049437,-72.28880281"
5,1,2013-05-05 09:20:26,null,3,"43.7037094,-72.28660102"
1,2,2013-05-19 22:36:10,1,3,"43.70573461,-72.28972765"
